"date","Area_Name","Area_Type","Mortgage Affordability Index","Deposit Affordability Index","Rent Affordability Index"
2003-12-31,"Ashburton District","TA",1.0705,1.3343,1.072
2003-12-31,"Buller District","TA",1.128,1.406,1.0342
2003-12-31,"Carterton District","TA",0.9156,1.1412,0.9947
2003-12-31,"Central Hawkes Bay District","TA",0.9222,1.1494,0.944
2003-12-31,"Central Otago District","TA",0.779,0.9709,0.8494
2003-12-31,"Christchurch City","TA",0.8847,1.1027,0.9037
2003-12-31,"Clutha District","TA",1.0894,1.3579,1.0584
2003-12-31,"Dunedin City","TA",0.8725,1.0875,1.0148
2003-12-31,"Far North District","TA",0.9359,1.1665,1.0308
2003-12-31,"Gisborne District","TA",0.9897,1.2336,1.0514
2003-12-31,"Gore District","TA",1.216,1.5156,1.0917
2003-12-31,"Grey District","TA",1.0456,1.3033,0.9545
2003-12-31,"Hamilton City","TA",0.9339,1.164,0.9249
2003-12-31,"Hastings District","TA",0.8368,1.0431,0.9959
2003-12-31,"Hauraki District","TA",1.1137,1.3882,1.1371
2003-12-31,"Horowhenua District","TA",1.0434,1.3005,1.0367
2003-12-31,"Hurunui District","TA",1.0815,1.3481,1.0683
2003-12-31,"Invercargill City","TA",0.9768,1.2175,0.8576
2003-12-31,"Kaikoura District","TA",0.7359,0.9172,1.0716
2003-12-31,"Kaipara District","TA",0.9618,1.1988,1.1758
2003-12-31,"Kapiti Coast District","TA",0.907,1.1305,0.9838
2003-12-31,"Kawerau District","TA",1.2807,1.5963,1.238
2003-12-31,"Hutt City","TA",0.9341,1.1643,1.0329
2003-12-31,"MacKenzie District","TA",0.9976,1.2434,1.2511
2003-12-31,"Manawatu District","TA",1.0383,1.2942,1.0129
2003-12-31,"Marlborough District","TA",0.7603,0.9476,0.9602
2003-12-31,"Masterton District","TA",0.8954,1.116,1.0644
2003-12-31,"Matamata Piako District","TA",1.1284,1.4064,1.1745
2003-12-31,"Napier City","TA",0.7789,0.9708,0.967
2003-12-31,"Nelson City","TA",0.69,0.86,0.9275
2003-12-31,"New Plymouth District","TA",0.9423,1.1745,0.9478
2003-12-31,"New Zealand","NZ",0.8687,1.0828,0.9469
2003-12-31,"Opotiki District","TA",1.0474,1.3055,1.0783
2003-12-31,"Otorohanga District","TA",1.1269,1.4046,1.0444
2003-12-31,"Palmerston North City","TA",0.9273,1.1559,0.9587
2003-12-31,"Porirua City","TA",0.9122,1.137,1.0074
2003-12-31,"Queenstown Lakes District","TA",0.7086,0.8832,0.9274
2003-12-31,"Rangitikei District","TA",1.1603,1.4463,1.0326
2003-12-31,"Rotorua District","TA",0.9929,1.2376,1.0343
2003-12-31,"Ruapehu District","TA",1.4638,1.8245,1.1435
2003-12-31,"Selwyn District","TA",1.1911,1.4846,1.0218
2003-12-31,"South Taranaki District","TA",1.3173,1.6419,1.1757
2003-12-31,"South Waikato District","TA",1.3036,1.6248,1.054
2003-12-31,"South Wairarapa District","TA",0.9689,1.2077,1.0276
2003-12-31,"Southland District","TA",1.053,1.3124,1.0115
2003-12-31,"Stratford District","TA",1.4841,1.8498,1.2388
2003-12-31,"Tararua District","TA",1.159,1.4446,1.0776
2003-12-31,"Tasman District","TA",0.6938,0.8648,0.9287
2003-12-31,"Taupo District","TA",0.7157,0.8921,0.9959
2003-12-31,"Tauranga City","TA",0.7513,0.9364,0.9309
2003-12-31,"Thames Coromandel District","TA",0.8223,1.0249,1.0548
2003-12-31,"Timaru District","TA",1.0363,1.2916,1.0127
2003-12-31,"Upper Hutt City","TA",0.9815,1.2234,1.047
2003-12-31,"Waikato District","TA",0.958,1.1941,1.0593
2003-12-31,"Waimakariri District","TA",0.9985,1.2446,1.0016
2003-12-31,"Waimate District","TA",1.1052,1.3775,0.9414
2003-12-31,"Waipa District","TA",1.0272,1.2803,1.0555
2003-12-31,"Wairoa District","TA",1.0639,1.326,1.1159
2003-12-31,"Waitaki District","TA",0.8999,1.1216,1.0947
2003-12-31,"Waitomo District","TA",1.0286,1.2821,1.079
2003-12-31,"Wellington City","TA",0.8388,1.0455,1.0229
2003-12-31,"Western Bay of Plenty District","TA",0.8626,1.0751,1.0001
2003-12-31,"Westland District","TA",1.1431,1.4248,0.9987
2003-12-31,"Whakatane District","TA",0.9525,1.1872,1.0289
2003-12-31,"Whanganui District","TA",1.1076,1.3806,1.0202
2003-12-31,"Whangarei District","TA",0.9125,1.1374,1.022
2003-12-31,"Auckland","Reg",0.8574,1.0686,0.9214
2003-12-31,"Bay of Plenty","Reg",0.8476,1.0565,0.9759
2003-12-31,"Canterbury","Reg",0.9211,1.1481,0.914
2003-12-31,"Gisborne","Reg",0.9897,1.2336,1.0514
2003-12-31,"Hawke's Bay","Reg",0.823,1.0259,0.9863
2003-12-31,"Manawatu-Wanganui","Reg",1.0091,1.2578,0.9769
2003-12-31,"Marlborough","Reg",0.7603,0.9476,0.9602
2003-12-31,"Nelson","Reg",0.69,0.86,0.9275
2003-12-31,"Northland","Reg",0.9168,1.1427,1.0315
2003-12-31,"Otago","Reg",0.8319,1.037,0.9843
2003-12-31,"Southland","Reg",1.0253,1.278,0.9031
2003-12-31,"Taranaki","Reg",1.0333,1.2879,1.0108
2003-12-31,"Tasman","Reg",0.6938,0.8648,0.9288
2003-12-31,"Waikato","Reg",0.8906,1.11,0.9785
2003-12-31,"Wellington","Reg",0.8788,1.0954,1.0161
