Date,House values
31/03/2025,1642553
31/12/2024,1636999
30/09/2024,1618019
30/06/2024,1619652
31/03/2024,1630738
31/12/2023,1621444
30/09/2023,1590955
30/06/2023,1563341
31/03/2023,1573547
31/12/2022,1608367
30/09/2022,1630391
30/06/2022,1680923
31/03/2022,1723371
31/12/2021,1763125
30/09/2021,1663058
30/06/2021,1591524
31/03/2021,1512986
31/12/2020,1385674
30/09/2020,1280867
30/06/2020,1227900
31/03/2020,1227951
31/12/2019,1188262
30/09/2019,1157412
30/06/2019,1131286
31/03/2019,1126956
31/12/2018,1118115
30/09/2018,1105095
30/06/2018,1090523
31/03/2018,1079470
31/12/2017,1067373
30/09/2017,1051599
30/06/2017,1042827
31/03/2017,1030945
31/12/2016,1013840
30/09/2016,1001785
30/06/2016,959850
31/03/2016,905368
31/12/2015,873190
30/09/2015,862341
30/06/2015,821359
31/03/2015,791166
31/12/2014,767986
30/09/2014,744959
30/06/2014,735586
31/03/2014,724665
31/12/2013,718719
30/09/2013,708146
30/06/2013,688836
31/03/2013,671586
31/12/2012,655468
30/09/2012,642153
30/06/2012,629749
31/03/2012,620637
31/12/2011,614603
30/09/2011,613309
30/06/2011,602427
31/03/2011,605236
31/12/2010,601793
30/09/2010,600851
30/06/2010,603335
31/03/2010,608658
31/12/2009,605894
30/09/2009,594447
30/06/2009,578039
31/03/2009,568231
31/12/2008,568348
30/09/2008,581549
30/06/2008,591589
31/03/2008,615796
31/12/2007,613678
30/09/2007,610834
30/06/2007,605005
31/03/2007,586557
31/12/2006,559174
30/09/2006,538479
30/06/2006,525206
31/03/2006,519529
31/12/2005,505745
30/09/2005,484380
30/06/2005,467792
31/03/2005,452266
31/12/2004,428790
30/09/2004,413000
30/06/2004,396000
31/03/2004,387000
31/12/2003,370000
30/09/2003,339000
30/06/2003,312000
31/03/2003,298000
31/12/2002,282000
30/09/2002,270000
30/06/2002,260000
31/03/2002,255000
31/12/2001,246000
30/09/2001,241000
30/06/2001,238000
31/03/2001,236000
31/12/2000,232000
30/09/2000,232000
30/06/2000,229000
31/03/2000,229000
31/12/1999,227000
30/09/1999,227000
30/06/1999,226000
31/03/1999,223000
31/12/1998,221000
30/09/1998,219000
30/06/1998,218000
31/03/1998,220000
31/12/1997,221000
30/09/1997,218000
30/06/1997,215000
31/03/1997,209000
31/12/1996,201000
30/09/1996,197000
30/06/1996,196000
31/03/1996,192000
31/12/1995,183000
30/09/1995,177000
30/06/1995,172000
31/03/1995,168000
31/12/1994,164000
30/09/1994,160000
30/06/1994,154000
31/03/1994,148000
31/12/1993,140000
30/09/1993,136000
30/06/1993,133000
31/03/1993,131000
31/12/1992,129000
30/09/1992,128000
30/06/1992,127000
31/03/1992,125000
31/12/1991,125000
30/09/1991,125000
30/06/1991,123000
31/03/1991,124000
31/12/1990,126000
30/09/1990,126000
30/06/1990,125000
31/03/1990,123000
31/12/1989,120000
30/09/1989,117000
30/06/1989,114000
31/03/1989,113000
31/12/1988,109000
30/09/1988,108000
30/06/1988,107000
31/03/1988,104000
31/12/1987,100000
30/09/1987,95000
30/06/1987,90000
31/03/1987,86000
31/12/1986,81000
30/09/1986,79000
30/06/1986,76000
31/03/1986,75000
31/12/1985,73000
30/09/1985,70000
30/06/1985,67000
31/03/1985,64000
31/12/1984,62000
30/09/1984,60000
30/06/1984,58000
31/03/1984,56000
31/12/1983,53000
30/09/1983,51000
30/06/1983,50000
31/03/1983,49000
31/12/1982,48000
30/09/1982,47000
30/06/1982,45000
31/03/1982,42000
31/12/1981,38000
30/09/1981,35000
30/06/1981,32000
31/03/1981,30000
31/12/1980,28000
30/09/1980,27000
30/06/1980,26000
31/03/1980,25000
31/12/1979,25000
