date,region,unemployment_rate
2015-01-01,Auckland,6.5
2015-01-01,Christchurch,2.8
2015-01-01,Wellington,5.7
2015-04-01,Auckland,5.9
2015-04-01,Christchurch,3.1
2015-04-01,Wellington,5.2
2015-07-01,Auckland,5.6
2015-07-01,Christchurch,3.6
2015-07-01,Wellington,6.3
2015-10-01,Auckland,5.1
2015-10-01,Christchurch,3.4
2015-10-01,Wellington,5.3
2016-01-01,Auckland,6.1
2016-01-01,Christchurch,2.7
2016-01-01,Wellington,5.9
2016-04-01,Auckland,4.7
2016-04-01,Christchurch,3.2
2016-04-01,Wellington,5.3
2016-07-01,Auckland,5.3
2016-07-01,Christchurch,3.9
2016-07-01,Wellington,4.7
2016-10-01,Auckland,5.1
2016-10-01,Christchurch,3.6
2016-10-01,Wellington,5.6
2017-01-01,Auckland,5
2017-01-01,Christchurch,4
2017-01-01,Wellington,5.1
2017-04-01,Auckland,4.5
2017-04-01,Christchurch,3.8
2017-04-01,Wellington,4.9
2017-07-01,Auckland,4.6
2017-07-01,Christchurch,3.6
2017-07-01,Wellington,4.6
2017-10-01,Auckland,4.1
2017-10-01,Christchurch,4
2017-10-01,Wellington,3.8
2018-01-01,Auckland,4.5
2018-01-01,Christchurch,3.6
2018-01-01,Wellington,4.8
2018-04-01,Auckland,4.2
2018-04-01,Christchurch,4
2018-04-01,Wellington,4.7
2018-07-01,Auckland,3.7
2018-07-01,Christchurch,3.5
2018-07-01,Wellington,4.4
2018-10-01,Auckland,4.3
2018-10-01,Christchurch,3.7
2018-10-01,Wellington,4.4
2019-01-01,Auckland,4.4
2019-01-01,Christchurch,4
2019-01-01,Wellington,3.7
2019-04-01,Auckland,4.2
2019-04-01,Christchurch,3.5
2019-04-01,Wellington,3.4
2019-07-01,Auckland,4.2
2019-07-01,Christchurch,3.6
2019-07-01,Wellington,2.9
2019-10-01,Auckland,4.1
2019-10-01,Christchurch,3.6
2019-10-01,Wellington,3.9
2020-01-01,Auckland,4.8
2020-01-01,Christchurch,4
2020-01-01,Wellington,4.5
2020-04-01,Auckland,4
2020-04-01,Christchurch,3.8
2020-04-01,Wellington,4.1
2020-07-01,Auckland,5.6
2020-07-01,Christchurch,4.5
2020-07-01,Wellington,4.9
2020-10-01,Auckland,5.3
2020-10-01,Christchurch,4.3
2020-10-01,Wellington,4.6
2021-01-01,Auckland,5.3
2021-01-01,Christchurch,4.5
2021-01-01,Wellington,4.6
2021-04-01,Auckland,4.1
2021-04-01,Christchurch,3.9
2021-04-01,Wellington,4
2021-07-01,Auckland,3.1
2021-07-01,Christchurch,3.4
2021-07-01,Wellington,2.9
2021-10-01,Auckland,3
2021-10-01,Christchurch,3.2
2021-10-01,Wellington,2.9
2022-01-01,Auckland,3.6
2022-01-01,Christchurch,3.3
2022-01-01,Wellington,2.9
2022-04-01,Auckland,3.4
2022-04-01,Christchurch,3.5
2022-04-01,Wellington,2.7
2022-07-01,Auckland,3.3
2022-07-01,Christchurch,2.9
2022-07-01,Wellington,2.9
2022-10-01,Auckland,3.5
2022-10-01,Christchurch,3.1
2022-10-01,Wellington,2.8
2023-01-01,Auckland,3.4
2023-01-01,Christchurch,3.3
2023-01-01,Wellington,3.5
2023-04-01,Auckland,3.6
2023-04-01,Christchurch,2.8
2023-04-01,Wellington,2.8
2023-07-01,Auckland,4
2023-07-01,Christchurch,4
2023-07-01,Wellington,2.9
2023-10-01,Auckland,4.2
2023-10-01,Christchurch,3.6
2023-10-01,Wellington,3.3
2024-01-01,Auckland,4.8
2024-01-01,Christchurch,4.6
2024-01-01,Wellington,4.7
2024-04-01,Auckland,4.6
2024-04-01,Christchurch,4.2
2024-04-01,Wellington,4.3
2024-07-01,Auckland,5.2
2024-07-01,Christchurch,4.8
2024-07-01,Wellington,4.2
2024-10-01,Auckland,5.4
2024-10-01,Christchurch,4.7
2024-10-01,Wellington,4.9
2025-01-01,Auckland,6.5
2025-01-01,Christchurch,4.9
2025-01-01,Wellington,5.2
2025-04-01,Auckland,6.1
2025-04-01,Christchurch,5
2025-04-01,Wellington,4.2
