date,Auckland,Christchurch,Wellington
2015-01-01,6.5,2.8,5.7
2015-04-01,5.9,3.1,5.2
2015-07-01,5.6,3.6,6.3
2015-10-01,5.1,3.4,5.3
2016-01-01,6.1,2.7,5.9
2016-04-01,4.7,3.2,5.3
2016-07-01,5.3,3.9,4.7
2016-10-01,5.1,3.6,5.6
2017-01-01,5,4,5.1
2017-04-01,4.5,3.8,4.9
2017-07-01,4.6,3.6,4.6
2017-10-01,4.1,4,3.8
2018-01-01,4.5,3.6,4.8
2018-04-01,4.2,4,4.7
2018-07-01,3.7,3.5,4.4
2018-10-01,4.3,3.7,4.4
2019-01-01,4.4,4,3.7
2019-04-01,4.2,3.5,3.4
2019-07-01,4.2,3.6,2.9
2019-10-01,4.1,3.6,3.9
2020-01-01,4.8,4,4.5
2020-04-01,4,3.8,4.1
2020-07-01,5.6,4.5,4.9
2020-10-01,5.3,4.3,4.6
2021-01-01,5.3,4.5,4.6
2021-04-01,4.1,3.9,4
2021-07-01,3.1,3.4,2.9
2021-10-01,3,3.2,2.9
2022-01-01,3.6,3.3,2.9
2022-04-01,3.4,3.5,2.7
2022-07-01,3.3,2.9,2.9
2022-10-01,3.5,3.1,2.8
2023-01-01,3.4,3.3,3.5
2023-04-01,3.6,2.8,2.8
2023-07-01,4,4,2.9
2023-10-01,4.2,3.6,3.3
2024-01-01,4.8,4.6,4.7
2024-04-01,4.6,4.2,4.3
2024-07-01,5.2,4.8,4.2
2024-10-01,5.4,4.7,4.9
2025-01-01,6.5,4.9,5.2
2025-04-01,6.1,5,4.2
