"Year","Auckland Level","Auckland % Change","Auckland Absolute change"
"2005","406337","",""
"2006","444322","9.3","37985"
"2007","493924","11.2","49602"
"2008","506337","2.5","12413"
"2009","462401","-8.7","-43936"
"2010","504597","9.1","42196"
"2011","500745","-0.8","-3852"
"2012","526830","5.2","26085"
"2013","593917","12.7","67087"
"2014","672734","13.3","78817"
"2015","783611","16.5","110877"
"2016","895381","14.3","111770"
"2017","987902","10.3","92521"
"2018","1001320","1.4","13418"
"2019","974156","-2.7","-27164"
"2020","1032727","6","58571"
"2021","1274463","23.4","241736"
"2022","1446245","13.5","171782"
"2023","1237941","-14.4","-208304"
"2024","1261676","1.9","23735"
"2025","1225448","-2.9","-36228"
