"Year","Christchurch City Level","Christchurch City % Change","Christchurch City Absolute change","Auckland Level","Auckland % Change","Auckland Absolute change","Wellington City Level","Wellington City % Change","Wellington City Absolute change"
"2005","276616","","","406337","","","378106","",""
"2006","310940","12.4","34324","444322","9.3","37985","420871","11.3","42765"
"2007","350440","12.7","39500","493924","11.2","49602","481997","14.5","61126"
"2008","359249","2.5","8809","506337","2.5","12413","501094","4","19097"
"2009","326537","-9.1","-32712","462401","-8.7","-43936","459775","-8.2","-41319"
"2010","349609","7.1","23072","504597","9.1","42196","490488","6.7","30713"
"2011","347120","-0.7","-2489","500745","-0.8","-3852","479856","-2.2","-10632"
"2012","369047","6.3","21927","526830","5.2","26085","485402","1.2","5546"
"2013","408772","10.8","39725","593917","12.7","67087","497939","2.6","12537"
"2014","437877","7.1","29105","672734","13.3","78817","508747","2.2","10808"
"2015","449679","2.7","11802","783611","16.5","110877","524787","3.2","16040"
"2016","472184","5","22505","895381","14.3","111770","598234","14","73447"
"2017","474972","0.6","2788","987902","10.3","92521","700600","17.1","102366"
"2018","474295","-0.1","-677","1001320","1.4","13418","750871","7.2","50271"
"2019","480815","1.4","6520","974156","-2.7","-27164","797330","6.2","46459"
"2020","497627","3.5","16812","1032727","6","58571","865546","8.6","68216"
"2021","598688","20.3","101061","1274463","23.4","241736","1131561","30.7","266015"
"2022","758913","26.8","160225","1446245","13.5","171782","1210828","7","79267"
"2023","709252","-6.5","-49661","1237941","-14.4","-208304","1002727","-17.2","-208101"
"2024","746388","5.2","37136","1261676","1.9","23735","1035028","3.2","32301"
"2025","752357","0.8","5969","1225448","-2.9","-36228","953810","-7.8","-81218"
