"","Date","Christchurch City Level","Christchurch City % Change","Christchurch City Absolute change","Auckland Level","Auckland % Change","Auckland Absolute change","Wellington City Level","Wellington City % Change","Wellington City Absolute change","Metro areas Level","Metro areas % Change","Metro areas Absolute change","Rural areas Level","Rural areas % Change","Rural areas Absolute change"
"1",2005-01-01,276616,NA,NA,406337,NA,NA,378106,NA,NA,351000,NA,NA,134896,NA,NA
"2",2006-01-01,310940,12.4,34324,444322,9.3,37985,420871,11.3,42765,385292,9.8,34292,160726,19.1,25830
"3",2007-01-01,350440,12.7,39500,493924,11.2,49602,481997,14.5,61126,434597,12.8,49305,185833,15.6,25107
"4",2008-01-01,359249,2.5,8809,506337,2.5,12413,501094,4,19097,437369,0.6,2772,197903,6.5,12070
"5",2009-01-01,326537,-9.1,-32712,462401,-8.7,-43936,459775,-8.2,-41319,398498,-8.9,-38871,183330,-7.4,-14573
"6",2010-01-01,349609,7.1,23072,504597,9.1,42196,490488,6.7,30713,434849,9.1,36351,188986,3.1,5656
"7",2011-01-01,347120,-0.7,-2489,500745,-0.8,-3852,479856,-2.2,-10632,437596,0.6,2747,179493,-5,-9493
"8",2012-01-01,369047,6.3,21927,526830,5.2,26085,485402,1.2,5546,453369,3.6,15773,189916,5.8,10423
"9",2013-01-01,408772,10.8,39725,593917,12.7,67087,497939,2.6,12537,499067,10.1,45698,188300,-0.9,-1616
"10",2014-01-01,437877,7.1,29105,672734,13.3,78817,508747,2.2,10808,552643,10.7,53576,192547,2.3,4247
"11",2015-01-01,449679,2.7,11802,783611,16.5,110877,524787,3.2,16040,614933,11.3,62290,192470,0,-77
"12",2016-01-01,472184,5,22505,895381,14.3,111770,598234,14,73447,669453,8.9,54520,205687,6.9,13217
"13",2017-01-01,474972,0.6,2788,987902,10.3,92521,700600,17.1,102366,741770,10.8,72317,234395,14,28708
"14",2018-01-01,474295,-0.1,-677,1001320,1.4,13418,750871,7.2,50271,757269,2.1,15499,249448,6.4,15053
"15",2019-01-01,480815,1.4,6520,974156,-2.7,-27164,797330,6.2,46459,752979,-0.6,-4290,272073,9.1,22625
"16",2020-01-01,497627,3.5,16812,1032727,6,58571,865546,8.6,68216,830518,10.3,77539,317561,16.7,45488
"17",2021-01-01,598688,20.3,101061,1274463,23.4,241736,1131561,30.7,266015,1059778,27.6,229260,383096,20.6,65535
"18",2022-01-01,758913,26.8,160225,1446245,13.5,171782,1210828,7,79267,1186522,12,126744,478171,24.8,95075
"19",2023-01-01,709252,-6.5,-49661,1237941,-14.4,-208304,1002727,-17.2,-208101,1010021,-14.9,-176501,441186,-7.7,-36985
"20",2024-01-01,746388,5.2,37136,1261676,1.9,23735,1035028,3.2,32301,1045523,3.5,35502,447158,1.4,5972
"21",2025-01-01,752357,0.8,5969,1225448,-2.9,-36228,953810,-7.8,-81218,1006087,-3.8,-39436,452237,1.1,5079
