"Year","Northland Region Level","Northland Region % Change","Northland Region Absolute change","Waikato Region Level","Waikato Region % Change","Waikato Region Absolute change","Bay of Plenty Region Level","Bay of Plenty Region % Change","Bay of Plenty Region Absolute change","Taranaki Region Level","Taranaki Region % Change","Taranaki Region Absolute change","Wellington Region Level","Wellington Region % Change","Wellington Region Absolute change"
"2005","265900","","","226089","","","293289","","","183039","","","322853","",""
"2006","322669","21.3","56769","271500","20.1","45411","338106","15.3","44817","232593","27.1","49554","366748","13.6","43895"
"2007","355294","10.1","32625","304314","12.1","32814","365572","8.1","27466","269527","15.9","36934","423456","15.5","56708"
"2008","368152","3.6","12858","315930","3.8","11616","370864","1.4","5292","277444","2.9","7917","439365","3.8","15909"
"2009","319829","-13.1","-48323","282645","-10.5","-33285","334702","-9.8","-36162","250963","-9.5","-26481","401886","-8.5","-37479"
"2010","321976","0.7","2147","292378","3.4","9733","339163","1.3","4461","253467","1","2504","430579","7.1","28693"
"2011","303367","-5.8","-18609","282210","-3.5","-10168","333697","-1.6","-5466","249999","-1.4","-3468","416733","-3.2","-13846"
"2012","306439","1","3072","283415","0.4","1205","329510","-1.3","-4187","247720","-0.9","-2279","420219","0.8","3486"
"2013","308378","0.6","1939","291272","2.8","7857","331285","0.5","1775","248418","0.3","698","431917","2.8","11698"
"2014","310749","0.8","2371","302299","3.8","11027","343456","3.7","12171","252680","1.7","4262","438244","1.5","6327"
"2015","325057","4.6","14308","314802","4.1","12503","358008","4.2","14552","255534","1.1","2854","446166","1.8","7922"
"2016","373853","15","48796","379475","20.5","64673","435877","21.8","77869","284594","11.4","29060","498785","11.8","52619"
"2017","438456","17.3","64603","444251","17.1","64776","518641","19","82764","338779","19","54185","596617","19.6","97832"
"2018","469637","7.1","31181","473173","6.5","28922","540999","4.3","22358","366165","8.1","27386","638887","7.1","42270"
"2019","497742","6","28105","497879","5.2","24706","587570","8.6","46571","403223","10.1","37058","698212","9.3","59325"
"2020","527841","6","30099","537018","7.9","39139","628820","7","41250","460500","14.2","57277","767961","10","69749"
"2021","652246","23.6","124405","667533","24.3","130515","790127","25.7","161307","582294","26.4","121794","1006359","31","238398"
"2022","797719","22.3","145473","795048","19.1","127515","938992","18.8","148865","661668","13.6","79374","1079190","7.2","72831"
"2023","704698","-11.7","-93021","724431","-8.9","-70617","826212","-12","-112780","610915","-7.7","-50753","882889","-18.2","-196301"
"2024","728357","3.4","23659","739761","2.1","15330","835706","1.1","9494","619091","1.3","8176","918572","4","35683"
"2025","698286","-4.1","-30071","734170","-0.8","-5591","834661","-0.1","-1045","637942","3","18851","864873","-5.8","-53699"
