"Year","West Coast Region Level","West Coast Region % Change","West Coast Region Absolute change","Otago Region Level","Otago Region % Change","Otago Region Absolute change"
"2005","134573","","","260757","",""
"2006","162128","20.5","27555","286384","9.8","25627"
"2007","194058","19.7","31930","313942","9.6","27558"
"2008","203066","4.6","9008","320631","2.1","6689"
"2009","191536","-5.7","-11530","295285","-7.9","-25346"
"2010","197059","2.9","5523","307598","4.2","12313"
"2011","193985","-1.6","-3074","302258","-1.7","-5340"
"2012","201373","3.8","7388","306126","1.3","3868"
"2013","207852","3.2","6479","318896","4.2","12770"
"2014","210899","1.5","3047","327237","2.6","8341"
"2015","201507","-4.5","-9392","336442","2.8","9205"
"2016","200120","-0.7","-1387","379576","12.8","43134"
"2017","204082","2","3962","440901","16.2","61325"
"2018","198685","-2.6","-5397","487239","10.5","46338"
"2019","206661","4","7976","532320","9.3","45081"
"2020","223232","8","16571","614348","15.4","82028"
"2021","278689","24.8","55457","727132","18.4","112784"
"2022","345849","24.1","67160","825849","13.6","98717"
"2023","342280","-1","-3569","784698","-5","-41151"
"2024","391647","14.4","49367","827611","5.5","42913"
"2025","395906","1.1","4259","828046","0.1","435"
