"Year","Metro areas Level","Metro areas % Change","Metro areas Absolute change","Rural areas Level","Rural areas % Change","Rural areas Absolute change"
"2005","351000","","","134896","",""
"2006","385292","9.8","34292","160726","19.1","25830"
"2007","434597","12.8","49305","185833","15.6","25107"
"2008","437369","0.6","2772","197903","6.5","12070"
"2009","398498","-8.9","-38871","183330","-7.4","-14573"
"2010","434849","9.1","36351","188986","3.1","5656"
"2011","437596","0.6","2747","179493","-5","-9493"
"2012","453369","3.6","15773","189916","5.8","10423"
"2013","499067","10.1","45698","188300","-0.9","-1616"
"2014","552643","10.7","53576","192547","2.3","4247"
"2015","614933","11.3","62290","192470","0","-77"
"2016","669453","8.9","54520","205687","6.9","13217"
"2017","741770","10.8","72317","234395","14","28708"
"2018","757269","2.1","15499","249448","6.4","15053"
"2019","752979","-0.6","-4290","272073","9.1","22625"
"2020","830518","10.3","77539","317561","16.7","45488"
"2021","1059778","27.6","229260","383096","20.6","65535"
"2022","1186522","12","126744","478171","24.8","95075"
"2023","1010021","-14.9","-176501","441186","-7.7","-36985"
"2024","1045523","3.5","35502","447158","1.4","5972"
"2025","1006087","-3.8","-39436","452237","1.1","5079"
