"Year","New Zealand Level","New Zealand % Change","New Zealand Absolute change","Wellington Region Level","Wellington Region % Change","Wellington Region Absolute change","Auckland Level","Auckland % Change","Auckland Absolute change","Christchurch City Level","Christchurch City % Change","Christchurch City Absolute change"
"2000","50431","","","59408","","","60768","","","46119","",""
"2001","52517","4.1","2086","60701","2.2","1293","61789","1.7","1021","47422","2.8","1303"
"2002","55747","6.2","3230","63411","4.5","2710","64910","5.1","3121","50681","6.9","3259"
"2003","56709","1.7","962","64140","1.1","729","67188","3.5","2278","53191","5","2510"
"2004","60359","6.4","3650","67442","5.1","3302","71974","7.1","4786","57317","7.8","4126"
"2005","63258","4.8","2899","70229","4.1","2787","75114","4.4","3140","60359","5.3","3042"
"2006","66092","4.5","2834","74182","5.6","3953","79123","5.3","4009","63563","5.3","3204"
"2007","70312","6.4","4220","79732","7.5","5550","83814","5.9","4691","67484","6.2","3921"
"2008","76195","8.4","5883","86112","8","6380","90552","8","6738","73566","9","6082"
"2009","75956","-0.3","-239","87205","1.3","1093","89542","-1.1","-1010","74153","0.8","587"
"2010","76960","1.3","1004","88628","1.6","1423","89769","0.3","227","75542","1.9","1389"
"2011","80619","4.8","3659","92782","4.7","4154","94274","5","4505","78759","4.3","3217"
"2012","83372","3.4","2753","94940","2.3","2158","97581","3.5","3307","82179","4.3","3420"
"2013","83455","0.1","83","94127","-0.9","-813","97830","0.3","249","83476","1.6","1297"
"2014","87696","5.1","4241","97645","3.7","3518","103392","5.7","5562","88159","5.6","4683"
"2015","90204","2.9","2508","99524","1.9","1879","107975","4.4","4583","89760","1.8","1601"
"2016","94692","5","4488","103693","4.2","4169","115131","6.6","7156","92553","3.1","2793"
"2017","96205","1.6","1513","104803","1.1","1110","118149","2.6","3018","91843","-0.8","-710"
"2018","99760","3.7","3555","108862","3.9","4059","122322","3.5","4173","94724","3.1","2881"
"2019","104563","4.8","4803","116039","6.6","7177","127905","4.6","5583","97572","3","2848"
"2020","110595","5.8","6032","124522","7.3","8483","134893","5.5","6988","101365","3.9","3793"
"2021","115563","4.5","4968","130219","4.6","5697","140096","3.9","5203","103707","2.3","2342"
"2022","119140","3.1","3577","134822","3.5","4603","144045","2.8","3949","107217","3.4","3510"
"2023","125786","5.6","6646","141990","5.3","7168","151272","5","7227","112621","5","5404"
"2024","132818","5.6","7032","148113","4.3","6123","162338","7.3","11066","116583","3.5","3962"
"2025","135079","1.7","2261","149885","1.2","1772","165997","2.3","3659","116863","0.2","280"
