date,nz_level,wlg_level,akl_level,chc_level
2015-04-01,90204,99524,107975,89760
2015-07-01,91319.86885245901,100560.55464480874,109754.22404371585,90454.4344262295
2015-10-01,92448,101608.5,111553,91156.5
2016-01-01,93576.13114754099,102656.44535519126,113351.77595628415,91858.5655737705
2016-04-01,94692,103693,115131,92553
2016-07-01,95069.21369863013,103969.7397260274,115883.43287671232,92375.98630136986
2016-10-01,95450.57260273973,104249.52054794521,116644.13424657534,92197.02739726027
2017-01-01,95831.93150684932,104529.30136986301,117404.83561643836,92018.06849315068
2017-04-01,96205,104803,118149,91843
2017-07-01,97091.31506849315,105814.9698630137,119189.39178082191,92561.27671232876
2017-10-01,97987.3698630137,106838.0602739726,120241.21643835616,93287.44657534246
2018-01-01,98883.42465753424,107861.1506849315,121293.04109589041,94013.61643835617
2018-04-01,99760,108862,122322,94724
2018-07-01,100957.4602739726,110651.33424657534,123713.92602739726,95434.04931506849
2018-10-01,102168.0794520548,112460.33150684931,125121.14794520548,96151.90136986302
2019-01-01,103378.69863013699,114269.32876712328,126528.3698630137,96869.75342465754
2019-04-01,104563,116039,127905,97572
2019-07-01,106062.75956284153,118148.16120218579,129642.45355191256,98515.06830601093
2019-10-01,107579,120280.5,131399,99468.5
2020-01-01,109095.24043715847,122412.83879781421,133155.54644808744,100421.93169398907
2020-04-01,110595,124522,134893,101365
2020-07-01,111833.59726027398,125942.34794520547,136190.18630136986,101948.89589041096
2020-10-01,113085.80547945206,127378.30410958904,137501.62739726028,102539.20821917808
2021-01-01,114338.01369863014,128814.2602739726,138813.0684931507,103129.52054794521
2021-04-01,115563,130219,140096,103707
2021-07-01,116454.8,131366.59726027396,141080.54520547946,104582.09589041096
2021-10-01,117356.4,132526.80547945204,142075.90958904108,105466.80821917808
2022-01-01,118258,133687.01369863015,143071.27397260274,106351.52054794521
2022-04-01,119140,134822,144045,107217
2022-07-01,120796.94794520548,136609.09041095892,145846.8,108564.29863013698
2022-10-01,122472.10410958904,138415.8191780822,147668.4,109926.40273972602
2023-01-01,124147.2602739726,140222.54794520547,149490,111288.50684931508
2023-04-01,125786,141990,151272,112621
2023-07-01,127534.39344262295,143512.38524590165,154023.3825136612,113606.08743169399
2023-10-01,129302,145051.5,156805,114602
2024-01-01,131069.60655737705,146590.61475409835,159586.6174863388,115597.91256830601
2024-04-01,132818,148113,162338,116583
2024-07-01,133381.701369863,148554.78630136987,163250.24383561645,116652.80821917808
2024-10-01,133951.59726027396,149001.42739726027,164172.51232876713,116723.38356164383
2025-01-01,134521.49315068492,149448.0684931507,165094.7808219178,116793.95890410959
2025-04-01,135079,149885,165997,116863
