date,nz_change,wlg_change,akl_change,chc_change
2015-04-01,2508,1879,4583,1601
2015-07-01,3000.2950819672133,2448.3715846994537,5222.734972677596,1897.3715846994535
2015-10-01,3498,3024,5869.5,2197
2016-01-01,3995.7049180327867,3599.6284153005463,6516.265027322404,2496.6284153005463
2016-04-01,4488,4169,7156,2793
2016-07-01,3746.2876712328766,3406.345205479452,6124.334246575342,1919.6493150684933
2016-10-01,2996.4246575342468,2635.309589041096,5081.331506849315,1036.7013698630135
2017-01-01,2246.5616438356165,1864.2739726027398,4038.3287671232874,153.7534246575342
2017-04-01,1513,1110,3018,-710
2017-07-01,2022.1013698630136,1845.2301369863014,3305.958904109589,185.2904109589041
2017-10-01,2536.797260273973,2588.5397260273976,3597.082191780822,1090.419178082192
2018-01-01,3051.4931506849316,3331.849315068493,3888.2054794520545,1995.5479452054797
2018-04-01,3555,4059,4173,2881
2018-07-01,3866.145205479452,4836.364383561644,4524.534246575343,2872.772602739726
2018-10-01,4180.709589041096,5622.271232876712,4879.931506849315,2864.454794520548
2019-01-01,4495.273972602739,6408.178082191781,5235.328767123287,2856.1369863013697
2019-04-01,4803,7177,5583,2848
2019-07-01,5108.571038251366,7501.715846994535,5932.330601092896,3082.9590163934427
2019-10-01,5417.5,7830,6285.5,3320.5
2020-01-01,5726.428961748634,8158.284153005465,6638.669398907104,3558.0409836065573
2020-04-01,6032,8483,6988,3793
2020-07-01,5766.728767123288,7788.408219178082,6542.972602739726,3431.2438356164384
2020-10-01,5498.542465753425,7086.183561643836,6093.054794520548,3065.512328767123
2021-01-01,5230.356164383562,6383.95890410959,5643.13698630137,2699.780821917808
2021-04-01,4968,5697,5203,2342
2021-07-01,4621.202739726027,5424.249315068493,4890.358904109589,2633.2
2021-10-01,4270.594520547945,5148.501369863014,4574.282191780821,2927.6
2022-01-01,3919.986301369863,4872.753424657534,4258.2054794520545,3222
2022-04-01,3577,4603,3949,3510
2022-07-01,4342.147945205479,5242.493150684932,4766.254794520548,3982.202739726027
2022-10-01,5115.704109589042,5889.013698630137,5592.490410958904,4459.594520547946
2023-01-01,5889.260273972603,6535.534246575342,6418.726027397261,4936.986301369863
2023-04-01,6646,7168,7227,5404
2023-07-01,6741.972677595629,6908.1775956284155,8181.505464480874,5045.469945355191
2023-10-01,6839,6645.5,9146.5,4683
2024-01-01,6936.027322404371,6382.8224043715845,10111.494535519125,4320.530054644809
2024-04-01,7032,6123,11066,3962
2024-07-01,5842.517808219178,5038.230136986302,9219.323287671234,3044.0219178082193
2024-10-01,4639.964383561643,3941.539726027397,7352.353424657534,2115.9561643835614
2025-01-01,3437.4109589041095,2844.849315068493,5485.3835616438355,1187.8904109589039
2025-04-01,2261,1772,3659,280
