Year,govt_Housing_Affordability_Indices_Area_Name,govt_Housing_Affordability_Indices_Category,govt_Housing_Affordability_Indices_Mortgage Affordability Index,govt_Housing_Affordability_Indices_Deposit Affordability Index,govt_Housing_Affordability_Indices_Rent Affordability Index,govt_Banks_Mortgage_Rates_Category,govt_Banks_Mortgage_Rates_Floating rate,govt_Banks_Mortgage_Rates_2 year fixed rate,govt_House_Price_Index_Category,govt_House_Price_Index_House prices (annual % change),govt_Value_of_Housing_Stock_Category,govt_Value_of_Housing_Stock_House values,figure_Category,figure_Auckland,figure_Christchurch,figure_Wellington,infometrics_avg_quarterly_income_change_Category,infometrics_avg_quarterly_income_change_nz_change,infometrics_avg_quarterly_income_change_wlg_change,infometrics_avg_quarterly_income_change_akl_change,infometrics_avg_quarterly_income_change_chc_change,infometrics_avg_quarterly_income_Category,infometrics_avg_quarterly_income_nz_level,infometrics_avg_quarterly_income_wlg_level,infometrics_avg_quarterly_income_akl_level,infometrics_avg_quarterly_income_chc_level,infometrics_avg_house_price_wide_Category,infometrics_avg_house_price_wide_...1,infometrics_avg_house_price_wide_Christchurch City Level,infometrics_avg_house_price_wide_Christchurch City % Change,infometrics_avg_house_price_wide_Christchurch City Absolute change,infometrics_avg_house_price_wide_Auckland Level,infometrics_avg_house_price_wide_Auckland % Change,infometrics_avg_house_price_wide_Auckland Absolute change,infometrics_avg_house_price_wide_Wellington City Level,infometrics_avg_house_price_wide_Wellington City % Change,infometrics_avg_house_price_wide_Wellington City Absolute change,infometrics_avg_house_price_wide_Metro areas Level,infometrics_avg_house_price_wide_Metro areas % Change,infometrics_avg_house_price_wide_Metro areas Absolute change,infometrics_avg_house_price_wide_Rural areas Level,infometrics_avg_house_price_wide_Rural areas % Change,infometrics_avg_house_price_wide_Rural areas Absolute change,rbnz_Category,rbnz_house_price_annual_pct_change,rbnz_house_value_index,rbnz_debt_servicing_pct,rbnz_floating_rate,rbnz_two_year_fixed_rate,rbnz_cpi_annual_pct_change,rbnz_unemployment_rate,statsnz_Category,statsnz_official_cash_rate,statsnz_rent_auckland,statsnz_rent_canterbury,statsnz_rent_wellington,statsnz_consents_auckland,statsnz_consents_canterbury,statsnz_consents_wellington,statsnz_population_auckland,statsnz_population_canterbury,statsnz_population_wellington,statsnz_rent_yoy_auckland,statsnz_rent_yoy_canterbury,statsnz_rent_yoy_wellington,statsnz_rent_index_auckland,statsnz_rent_index_canterbury,statsnz_rent_index_wellington,statsnz_consents_per_1000_auckland,statsnz_consents_per_1000_canterbury,statsnz_consents_per_1000_wellington,statsnz_mortgage_Auckland,statsnz_mortgage_Canterbury,statsnz_mortgage_New_Zealand,statsnz_mortgage_Wellington,statsnz_deposit_Auckland,statsnz_deposit_Canterbury,statsnz_deposit_New_Zealand,statsnz_deposit_Wellington,statsnz_rent_Auckland,statsnz_rent_Canterbury,statsnz_rent_New_Zealand,statsnz_rent_Wellington
2003,Ashburton District,Canterbury Rural,1.0705,1.3343,1.072,National,7.266666666666667,6.87,National,19.425,National,329750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,Auckland,Auckland Urban,0.85785,1.0692,0.92145,National,7.266666666666667,6.87,National,19.425,National,329750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,Bay of Plenty,Other,0.8476,1.0565,0.9759,National,7.266666666666667,6.87,National,19.425,National,329750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,Buller District,Other,1.128,1.406,1.0342,National,7.266666666666667,6.87,National,19.425,National,329750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,Canterbury,Canterbury Rural,0.9211,1.1481,0.914,National,7.266666666666667,6.87,National,19.425,National,329750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,Carterton District,Wellington Rural,0.9156,1.1412,0.9947,National,7.266666666666667,6.87,National,19.425,National,329750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,Central Hawkes Bay District,Other,0.9222,1.1494,0.944,National,7.266666666666667,6.87,National,19.425,National,329750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,Central Otago District,Other,0.779,0.9709,0.8494,National,7.266666666666667,6.87,National,19.425,National,329750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,Christchurch City,Canterbury Urban,0.8847,1.1027,0.9037,National,7.266666666666667,6.87,National,19.425,National,329750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,Clutha District,Other,1.0894,1.3579,1.0584,National,7.266666666666667,6.87,National,19.425,National,329750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
