Location,3-month change,12-month change,2-year change,5-year change,Change since value peak,Change since pre-Covid
Auckland,1.6,-9,-10.2,20.2,-17.5,16.6
Bay of Plenty,1,-7.1,-2.7,48.7,-12.2,30.7
Canterbury,2.1,-1.8,8.5,51.4,-4.5,43.9
Gisborne,0.9,-6.6,-3.7,75,-10.8,35.5
Hawke's Bay,1.7,-7.5,-6.8,60.6,-15.1,28.7
Manawatu-Whanganui,-0.7,-7.9,-9.1,67.9,-15.1,29.7
Marlborough,0,-6.1,-1.3,46.7,-8,28.9
Nelson,-0.7,-4,-4.5,28.7,-12.3,14.8
New Zealand,0.8,-7.4,-6.3,34.5,-13.3,23.6
Northland,-3.1,-7,1,44.8,-11.5,33.3
Otago,-0.4,-3,5.3,49.7,-5.5,28.1
Southland,-0.8,1.2,7.4,71.1,-2.7,34.4
Taranaki,-2.2,-5.2,4.4,57.3,-6.9,36.3
Tasman,-2.9,-8.8,-3.5,29.4,-11.1,20
Waikato,-0.6,-8.5,-2.4,46.4,-10.2,31.5
Wellington,0.9,-11.2,-18.9,31.9,-24.2,12.6
West Coast,-3,4.2,17.2,65.5,-2.8,45.5
