Location,3-month change %,12-month change %,2-year change %,5-year change %,Change since peak %,Change since pre-Covid %
New Zealand,1.7,-5.1,-7.7,35.5,-12.4,24.8
Auckland,2.3,-6.5,-11.5,21.6,-16.7,17.8
Bay of Plenty,2.4,-4.5,-4.4,48.7,-11.7,31.5
Canterbury,2.3,-0.5,4.8,52,-4,44.6
Gisborne,2.9,-4.6,-2.9,76.9,-8.9,38.4
Hawke's Bay,1.5,-4.9,-8.9,59.8,-14.9,29
Manawatu-Whanganui,0.7,-4.9,-9.2,68.1,-13.7,31.8
Marlborough,1.9,-3.1,-0.1,49.4,-6.1,31.5
Nelson,-1.2,-4.2,-7.2,27.3,-12.8,14.2
Northland,-0.5,-5.7,-0.6,44.9,-10.8,34.4
Otago,1.4,-0.6,4.6,50.8,-4.1,29.9
Southland,0.2,0.6,5.6,71.2,-2.4,34.8
Taranaki,-0.6,-4.9,2.7,57.1,-6.8,36.5
Tasman,0.7,-7.2,-5.1,29.7,-10.2,21.1
Waikato,1,-6.3,-3,47.9,-8.9,33.3
Wellington,1.8,-8.1,-19.8,31.8,-23.6,13.5
West Coast,-1.2,2.9,14.9,66,-2.1,46.5
