Suburb,Territorial local authority,Average property value,3-month change
Arrowtown,Queenstown-Lakes,"$2,548,000 ",8.3
Mataura,Gore,"$330,000 ",8.2
Whitford,Auckland Manukau,"$3,394,000 ",8
Twizel,Mackenzie,"$767,000 ",7.9
Lake Hayes,Queenstown-Lakes,"$2,574,000 ",7.9
East Gore,Gore,"$419,000 ",7.7
Lake Tekapo,Mackenzie,"$1,122,000 ",7.6
Kaiti,Gisborne,"$520,000 ",7.4
Reefton,Buller,"$379,000 ",7.1
Gore,Gore,"$492,000 ",7
Cobden,Grey,"$287,000 ",6.7
Lower Shotover,Queenstown-Lakes,"$1,753,000 ",6.6
Bridge Hill,Central Otago,"$957,000 ",6.5
Wanaka,Queenstown-Lakes,"$2,034,000 ",6.5
Rongotea,Manawatu,"$719,000 ",6.2
Jacks Point,Queenstown-Lakes,"$1,835,000 ",6.2
Otautau,Southland,"$409,000 ",6.2
Mangawhai,Kaipara,"$1,354,000 ",6.1
Hunua,Auckland Franklin,"$1,429,000 ",5.9
Otara,Auckland Manukau,"$784,000 ",5.9
Clyde,Central Otago,"$962,000 ",5.9
Mount Pisa,Central Otago,"$1,427,000 ",5.8
Outer Kaiti,Gisborne,"$495,000 ",5.8
Havelock,Marlborough,"$697,000 ",5.8
Whangamata,Thames-Coromandel,"$1,404,000 ",5.8
Maori Hill,Dunedin,"$1,073,000 ",5.7
Herne Bay,Auckland City,"$3,695,000 ",5.6
Goodwood Heights,Auckland Manukau,"$1,073,000 ",5.6
Cockle Bay,Auckland Manukau,"$1,648,000 ",5.5
Tainui,Dunedin,"$613,000 ",5.5
Kaukapakapa,Auckland Rodney,"$1,434,000 ",5.4
Fairfield,Dunedin,"$777,000 ",5.4
Outram,Dunedin,"$846,000 ",5.4
Lake Hawea,Queenstown-Lakes,"$1,353,000 ",5.4
Halfway Bush,Dunedin,"$633,000 ",5.3
Stratford,Stratford,"$537,000 ",5.3
Great Barrier Island (Aotea Island),Auckland City,"$830,000 ",5.2
Somerville,Auckland Manukau,"$1,512,000 ",5.2
Oteha,Auckland North Shore,"$1,213,000 ",5.2
Renwick,Marlborough,"$769,000 ",5.2
Taumarunui,Ruapehu,"$361,000 ",5.2
Lumsden,Southland,"$407,000 ",5.2
Murupara,Whakatane,"$203,000 ",5.2
Cromwell,Central Otago,"$987,000 ",5.1
Brockville,Dunedin,"$534,000 ",5.1
Fairlie,Mackenzie,"$558,000 ",5.1
Queenstown,Queenstown-Lakes,"$1,705,000 ",5.1
Fendalton,Christchurch,"$1,736,000 ",5
Mangawhai Heads,Kaipara,"$1,398,000 ",5
Paekakariki,Kapiti Coast,"$938,000 ",5
Churton Park,Wellington,"$1,098,000 ",5
Dannemora,Auckland Manukau,"$1,672,000 ",4.9
Pakuranga Heights,Auckland Manukau,"$1,210,000 ",4.9
Lynfield,Auckland City,"$1,366,000 ",4.8
Schnapper Rock,Auckland North Shore,"$1,687,000 ",4.8
Saint Clair,Dunedin,"$880,000 ",4.8
Akaroa,Christchurch,"$1,078,000 ",4.7
Waiwhetu,Lower Hutt,"$756,000 ",4.7
Winton,Southland,"$621,000 ",4.7
Panmure,Auckland City,"$1,028,000 ",4.6
Half Moon Bay,Auckland Manukau,"$1,641,000 ",4.6
Avonhead,Christchurch,"$820,000 ",4.6
Hastings,Hastings,"$612,000 ",4.6
Mellons Bay,Auckland Manukau,"$2,188,000 ",4.5
Sunnyhills,Auckland Manukau,"$1,700,000 ",4.5
Belleknowes,Dunedin,"$810,000 ",4.5
Concord,Dunedin,"$584,000 ",4.5
Waikouaiti,Dunedin,"$533,000 ",4.5
Otaki,Kapiti Coast,"$715,000 ",4.5
Naenae,Lower Hutt,"$633,000 ",4.5
Normandale,Lower Hutt,"$913,000 ",4.5
Stokes Valley,Lower Hutt,"$648,000 ",4.5
Crofton Downs,Wellington,"$1,039,000 ",4.5
Northpark,Auckland Manukau,"$1,478,000 ",4.4
Fairview Heights,Auckland North Shore,"$1,639,000 ",4.4
Fairfield,Lower Hutt,"$779,000 ",4.4
Albert Town,Queenstown-Lakes,"$1,626,000 ",4.4
Riverton/Aparima,Southland,"$682,000 ",4.4
Hillcrest,Auckland North Shore,"$1,250,000 ",4.3
Dobson,Grey,"$341,000 ",4.3
Martinborough,South Wairarapa,"$1,001,000 ",4.3
Kuratau,Taupo,"$903,000 ",4.3
New Lynn,Auckland Waitakere,"$894,000 ",4.2
Abbotsford,Dunedin,"$625,000 ",4.2
Maungaraki,Lower Hutt,"$885,000 ",4.2
Clover Park,Auckland Manukau,"$867,000 ",4.1
