Location,Current average property value,Post-Covid value peak,5-year average quarterly growth rate pre-2020,Forecast return to peak
Southland,"$533,000 ","$537,000 ",2.43,Q2-2024
Canterbury,"$787,000 ","$798,000 ",0.48,Q4-2024
Gisborne,"$670,000 ","$730,000 ",2.76,Q1-2025
Marlborough,"$761,000 ","$808,000 ",1.94,Q1-2025
Taranaki,"$692,000 ","$732,000 ",1.55,Q1-2025
Waikato,"$910,000 ","$991,000 ",2.42,Q1-2025
Bay of Plenty,"$967,000 ","$1,089,000 ",2.72,Q2-2025
Hawke's Bay,"$802,000 ","$933,000 ",3.03,Q2-2025
Northland,"$834,000 ","$925,000 ",2.34,Q2-2025
Tasman,"$932,000 ","$1,020,000 ",1.97,Q2-2025
New Zealand,"$978,000 ","$1,098,000 ",1.9,Q3-2025
Manawatu-Whanganui,"$606,000 ","$702,000 ",2.76,Q3-2025
Nelson,"$803,000 ","$915,000 ",2.27,Q3-2025
Wellington,"$904,000 ","$1,141,000 ",2.48,Q2-2026
Auckland,"$1,330,000 ","$1,579,000 ",1.64,Q4-2026
