Suburb,TLA,Average property value,YoY % change,YoY $ change
Mataura,Gore,"$306,000",19.5,"$50,000"
Merivale,Christchurch,"$1,594,000",18.8,"$252,000"
Murupara,Whakatane,"$204,000",17.2,"$30,000"
Reefton,Buller,"$390,000",17.1,"$57,000"
Fendalton,Christchurch,"$1,761,000",16.3,"$247,000"
Cobden,Grey,"$313,000",15.9,"$43,000"
Karoro,Grey,"$624,000",15.8,"$85,000"
Dannevirke,Tararua,"$494,000",15.7,"$67,000"
Beckenham,Christchurch,"$906,000",15.4,"$121,000"
Strowan,Christchurch,"$1,275,000",15.1,"$167,000"
Greymouth,Grey,"$473,000",14.5,"$60,000"
Cracroft,Christchurch,"$1,149,000",11.2,"$116,000"
Sumner,Christchurch,"$1,168,000",10.8,"$114,000"
Paekakariki,Kapiti Coast,"$995,000",10.6,"$95,000"
Akaroa,Christchurch,"$1,085,000",10.3,"$101,000"
Fernhill,Queenstown-Lakes,"$1,365,000",10.3,"$127,000"
Ranui,Porirua,"$648,000",10.2,"$60,000"
Dobson,Grey,"$357,000",10.2,"$33,000"
Woodville,Tararua,"$382,000",10.1,"$35,000"
Cannons Creek,Porirua,"$588,000",10.1,"$54,000"
Birchville,Upper Hutt,"$747,000",9.4,"$64,000"
South New Brighton,Christchurch,"$637,000",9.3,"$54,000"
Hei Hei,Christchurch,"$624,000",9.1,"$52,000"
Huntsbury,Christchurch,"$1,175,000",8.9,"$96,000"
Pahiatua,Tararua,"$443,000",8.8,"$36,000"
Northpark,Auckland Manukau,"$1,498,000",8.7,"$120,000"
Casebrook,Christchurch,"$861,000",8.7,"$69,000"
Timberlea,Upper Hutt,"$851,000",8.7,"$68,000"
Mount Pisa,Central Otago,"$1,457,000",8.4,"$113,000"
Cashmere,Christchurch,"$1,183,000",8.3,"$91,000"
Sockburn,Christchurch,"$633,000",8.2,"$48,000"
Queenstown,Queenstown-Lakes,"$1,745,000",8.2,"$132,000"
Seatoun,Wellington,"$1,831,000",8.2,"$139,000"
Tapanui,Clutha,"$402,000",8.1,"$30,000"
Bromley,Christchurch,"$540,000",8,"$40,000"
Pinehaven,Upper Hutt,"$810,000",8,"$60,000"
Mount Pleasant,Christchurch,"$1,170,000",7.9,"$86,000"
Somerville,Auckland Manukau,"$1,536,000",7.8,"$111,000"
Lyttelton,Christchurch,"$790,000",7.8,"$57,000"
Westmorland,Christchurch,"$1,193,000",7.8,"$86,000"
Te Aro,Wellington,"$747,000",7.8,"$54,000"
Hoon Hay,Christchurch,"$675,000",7.7,"$48,000"
Pinehill,Auckland North Shore,"$1,791,000",7.6,"$126,000"
Northwood,Christchurch,"$1,105,000",7.6,"$78,000"
Richmond,Christchurch,"$581,000",7.6,"$41,000"
Clyde,Central Otago,"$977,000",7.6,"$69,000"
Bluff,Invercargill,"$353,000",7.6,"$25,000"
Newlands,Wellington,"$868,000",7.6,"$61,000"
Camberley,Hastings,"$553,000",7.4,"$38,000"
Raumati South,Kapiti Coast,"$927,000",7.4,"$64,000"
Pukerua Bay,Porirua,"$902,000",7.3,"$61,000"
Burnside,Christchurch,"$909,000",7.2,"$61,000"
Burwood,Christchurch,"$703,000",7.2,"$47,000"
Kaikoura,Kaikoura,"$715,000",7.2,"$48,000"
Paparangi,Wellington,"$875,000",7.2,"$59,000"
Tainui,Dunedin,"$615,000",7.1,"$41,000"
Lake Tekapo,Mackenzie,"$1,149,000",7,"$75,000"
Belfast,Christchurch,"$709,000",6.9,"$46,000"
Oakura,New Plymouth,"$1,326,000",6.9,"$86,000"
Crofton Downs,Wellington,"$1,060,000",6.9,"$68,000"
Wellington Central,Wellington,"$574,000",6.9,"$37,000"
New Brighton,Christchurch,"$568,000",6.8,"$36,000"
Wainoni,Christchurch,"$519,000",6.8,"$33,000"
Mount Cook,Wellington,"$806,000",6.8,"$51,000"
Schnapper Rock,Auckland North Shore,"$1,698,000",6.7,"$106,000"
Redcliffs,Christchurch,"$1,181,000",6.7,"$74,000"
Mellons Bay,Auckland Manukau,"$2,200,000",6.6,"$136,000"
Islington,Christchurch,"$578,000",6.6,"$36,000"
Arrowtown,Queenstown-Lakes,"$2,633,000",6.6,"$164,000"
Aotea,Porirua,"$1,256,000",6.6,"$78,000"
Spreydon,Christchurch,"$624,000",6.5,"$38,000"
Clouston Park,Upper Hutt,"$692,000",6.5,"$42,000"
Churton Park,Wellington,"$1,117,000",6.5,"$68,000"
Aranui,Christchurch,"$483,000",6.4,"$29,000"
Avonside,Christchurch,"$552,000",6.4,"$33,000"
Bryndwr,Christchurch,"$802,000",6.4,"$48,000"
Edgeware,Christchurch,"$569,000",6.4,"$34,000"
Opawa,Christchurch,"$802,000",6.4,"$48,000"
Parkside,Timaru,"$468,000",6.4,"$28,000"
Maori Hill,Dunedin,"$1,066,000",6.4,"$64,000"
Lower Shotover,Queenstown-Lakes,"$1,777,000",6.4,"$107,000"
Elderslea,Upper Hutt,"$761,000",6.4,"$46,000"
Totara Park,Upper Hutt,"$716,000",6.4,"$43,000"
East Tamaki Heights,Auckland Manukau,"$1,799,000",6.2,"$105,000"
Saint Martins,Christchurch,"$768,000",6.2,"$45,000"
Fairlie,Mackenzie,"$565,000",6.2,"$33,000"
Saint Clair,Dunedin,"$888,000",6.2,"$52,000"
Frankton,Queenstown-Lakes,"$1,271,000",6.2,"$74,000"
Titahi Bay,Porirua,"$733,000",6.2,"$43,000"
Heretaunga,Upper Hutt,"$975,000",6.2,"$57,000"
Hornby,Christchurch,"$605,000",6.1,"$35,000"
Waverley,Dunedin,"$795,000",6.1,"$46,000"
Trentham,Upper Hutt,"$726,000",6.1,"$42,000"
Highland Park,Auckland Manukau,"$1,201,000",6,"$68,000"
Geraldine,Timaru,"$622,000",6,"$35,000"
Andersons Bay,Dunedin,"$672,000",6,"$38,000"
Strathern,Invercargill,"$389,000",6,"$22,000"
Christchurch Central,Christchurch,"$714,000",5.9,"$40,000"
Dallington,Christchurch,"$597,000",5.9,"$33,000"
Ilam,Christchurch,"$948,000",5.9,"$53,000"
Mairehau,Christchurch,"$664,000",5.9,"$37,000"
Caversham,Dunedin,"$469,000",5.9,"$26,000"
Rosedale,Invercargill,"$741,000",5.9,"$41,000"
Woodridge,Wellington,"$986,000",5.9,"$55,000"
Broomfield,Christchurch,"$713,000",5.8,"$39,000"
Shirley,Christchurch,"$653,000",5.8,"$36,000"
Hokitika,Westland,"$456,000",5.8,"$25,000"
Hillsborough,Christchurch,"$832,000",5.7,"$45,000"
Marshland,Christchurch,"$1,082,000",5.7,"$58,000"
Oteha,Auckland North Shore,"$1,219,000",5.6,"$65,000"
Diamond Harbour,Christchurch,"$787,000",5.6,"$42,000"
North New Brighton,Christchurch,"$586,000",5.6,"$31,000"
Riverton/Aparima,Southland,"$679,000",5.6,"$36,000"
Blockhouse Bay,Auckland City,"$1,212,000",5.5,"$63,000"
Hillmorton,Christchurch,"$690,000",5.5,"$36,000"
Pleasant Point,Timaru,"$613,000",5.5,"$32,000"
Brockville,Dunedin,"$539,000",5.5,"$28,000"
Strathmore Park,Wellington,"$1,055,000",5.5,"$55,000"
Avondale,Christchurch,"$566,000",5.4,"$29,000"
Russley,Christchurch,"$716,000",5.4,"$37,000"
Green Island,Dunedin,"$607,000",5.4,"$31,000"
Island Bay,Wellington,"$1,174,000",5.4,"$60,000"
Dannemora,Auckland Manukau,"$1,690,000",5.3,"$85,000"
Chatswood,Auckland North Shore,"$1,537,000",5.3,"$78,000"
Aidanfield,Christchurch,"$933,000",5.3,"$47,000"
Kew,Dunedin,"$677,000",5.3,"$34,000"
One Tree Hill,Auckland City,"$1,393,000",5.2,"$69,000"
Clover Park,Auckland Manukau,"$868,000",5.2,"$43,000"
Harewood,Christchurch,"$1,127,000",5.2,"$56,000"
Waiwhetu,Lower Hutt,"$768,000",5.2,"$38,000"
Aro Valley,Wellington,"$971,000",5.2,"$48,000"
Somerfield,Christchurch,"$738,000",5.1,"$36,000"
Wigram,Christchurch,"$872,000",5.1,"$42,000"
Eastern Beach,Auckland Manukau,"$1,970,000",5,"$93,000"
Addington,Christchurch,"$562,000",5,"$27,000"
Papanui,Christchurch,"$770,000",5,"$37,000"
Kingswell,Invercargill,"$422,000",5,"$20,000"
Taita,Lower Hutt,"$646,000",5,"$31,000"
Kelburn,Wellington,"$1,534,000",5,"$73,000"
Farm Cove,Auckland Manukau,"$1,795,000",4.9,"$84,000"
Bishopdale,Christchurch,"$690,000",4.9,"$32,000"
Parklands,Christchurch,"$755,000",4.9,"$35,000"
Cromwell,Central Otago,"$994,000",4.9,"$46,000"
Lake Hayes,Queenstown-Lakes,"$2,621,000",4.9,"$123,000"
Otatara,Invercargill,"$790,000",4.9,"$37,000"
Waterloo,Lower Hutt,"$857,000",4.9,"$40,000"
Lynfield,Auckland City,"$1,380,000",4.8,"$63,000"
Bridge Hill,Central Otago,"$962,000",4.8,"$44,000"
Plimmerton,Porirua,"$1,035,000",4.8,"$47,000"
Golflands,Auckland Manukau,"$1,339,000",4.7,"$60,000"
Fairview Heights,Auckland North Shore,"$1,638,000",4.7,"$73,000"
Kensington,Timaru,"$470,000",4.7,"$21,000"
Herne Bay,Auckland City,"$3,746,000",4.6,"$166,000"
Mount Wellington,Auckland City,"$1,038,000",4.6,"$46,000"
Orakei,Auckland City,"$2,433,000",4.6,"$107,000"
Shelly Park,Auckland Manukau,"$1,603,000",4.6,"$71,000"
Fairfield,Dunedin,"$776,000",4.6,"$34,000"
Forbury,Dunedin,"$452,000",4.6,"$20,000"
Halfway Bush,Dunedin,"$636,000",4.6,"$28,000"
Outram,Dunedin,"$844,000",4.6,"$37,000"
Kelson,Lower Hutt,"$863,000",4.6,"$38,000"
Paremata,Porirua,"$964,000",4.6,"$42,000"
Wallaceville,Upper Hutt,"$789,000",4.6,"$35,000"
Redwood,Christchurch,"$673,000",4.5,"$29,000"
Fairfield,Lower Hutt,"$785,000",4.5,"$34,000"
Long Bay,Auckland North Shore,"$1,759,000",4.4,"$74,000"
Kennedys Bush,Christchurch,"$1,788,000",4.4,"$76,000"
Waikanae Beach,Kapiti Coast,"$957,000",4.4,"$40,000"
Silverstream,Upper Hutt,"$904,000",4.4,"$38,000"
Westport,Buller,"$403,000",4.4,"$17,000"
