Location,3-month change %,12-month change %,2-year change %,5-year change %
New Zealand,0.4,2.3,-10.3,36.3
Auckland,-0.6,1.5,-13.7,24.3
Bay of Plenty,-0.5,0.3,-11.7,42.2
Canterbury,0.9,4.6,-0.9,54.8
Gisborne,-3,-0.5,-11.8,61.3
Hawke's Bay,0.4,2.8,-12.9,53.4
Manawatu-Whanganui,0.3,2,-11.7,58.1
Marlborough,0.1,3.7,-4,49.9
Nelson,0.9,0.2,-10.7,26.3
Northland,2,0,-8.1,46
Otago,1.9,5.6,2.7,51.9
Southland,2.6,6.2,1.9,66.5
Taranaki,1.5,0.7,-4.7,54.2
Tasman,1.6,1.4,-6.2,32.4
Waikato,1.1,0.4,-7.9,45.2
Wellington,1,3.4,-19,30.6
West Coast,6.3,9,19.5,77.7
