Location,3-month change,1-year change,2-year change,5-year change
New Zealand,-0.2,2.7,-9.8,36
Auckland,-1.1,2,-13.1,24.7
Bay of Plenty,-0.4,1.3,-11.5,42.5
Canterbury,0.5,5.5,-0.8,54.6
Gisborne,-2.8,0.5,-11.2,60
Hawke's Bay,0.1,2.9,-11.7,52.4
Manawatu-Whanganui,0.2,1.3,-10.9,57.1
Marlborough,1.7,3.3,-4.1,49.1
Nelson,0.5,0.5,-10.6,25
Northland,1.6,-0.5,-8.1,45.4
Otago,0.6,4.3,2.1,50
Southland,3.4,6.2,3.4,67
Taranaki,0.9,0,-4.8,53.3
Tasman,1.2,0.9,-6.7,30.7
Waikato,0.2,1.2,-7.7,44.4
Wellington,0.1,4.8,-17.4,30.3
West Coast,4,8.3,19.1,75.9
