Suburb,Average property value,3-month change,1-year change,5-year change
Kelvin Heights,"$2,717,000","-$122,000","$197,000","$871,000"
Paerata,"$1,380,000","-$102,000","$77,000","$326,000"
Kelburn,"$1,440,000","-$94,000","-$37,000","$163,000"
Mount Albert,"$1,316,000","-$89,000","-$51,000","$241,000"
Hamurana,"$1,130,000","-$83,000","-$88,000","$264,000"
Mellons Bay,"$2,120,000","-$80,000","$135,000","$342,000"
Omaha,"$2,674,000","-$76,000","-$6,000","$779,000"
Totara Park,"$1,540,000","-$75,000","-$203,000","-$186,000"
Westmere,"$2,524,000","-$74,000","$56,000","$628,000"
Onehunga,"$1,098,000","-$73,000","-$9,000","$196,000"
Greenlane,"$1,814,000","-$69,000","$9,000","$312,000"
Sunnyhills,"$1,631,000","-$69,000","$38,000","$325,000"
Eastern Beach,"$1,904,000","-$66,000","$71,000","$353,000"
Arthurs Point,"$1,627,000","-$62,000","$56,000","$437,000"
Herne Bay,"$3,686,000","-$60,000","$248,000","$723,000"
Campbells Bay,"$2,293,000","-$54,000","$31,000","$290,000"
Seatoun,"$1,777,000","-$54,000","$128,000","$361,000"
Wanaka,"$2,028,000","-$53,000","$32,000","$640,000"
Bucklands Beach,"$1,696,000","-$52,000","$46,000","$389,000"
Long Bay,"$1,708,000","-$51,000","$46,000","$223,000"
Pinehill,"$1,741,000","-$50,000","$82,000","$342,000"
Jacks Point,"$1,814,000","-$50,000","$14,000","$479,000"
Three Kings,"$1,142,000","-$49,000","$21,000","$124,000"
Roseneath,"$1,552,000","-$49,000","$96,000","$191,000"
Shelly Park,"$1,555,000","-$48,000","$70,000","$306,000"
Chatswood,"$1,489,000","-$48,000","$63,000","$252,000"
Mission Bay,"$2,180,000","-$47,000","$36,000","$274,000"
Grey Lynn,"$1,762,000","-$46,000","$15,000","$351,000"
Hillsborough,"$1,290,000","-$46,000","$17,000","$194,000"
Lynfield,"$1,334,000","-$46,000","$55,000","$268,000"
Parnell,"$2,116,000","-$46,000","$54,000","$296,000"
Beachlands,"$1,558,000","-$46,000","$58,000","$335,000"
Albert Town,"$1,611,000","-$46,000","$75,000","$530,000"
Lake Hawea,"$1,312,000","-$46,000","$40,000","$501,000"
Northcross,"$1,298,000","-$45,000","$45,000","$200,000"
Rosehill,"$917,000","-$45,000","$10,000","$255,000"
Glendene,"$925,000","-$45,000","$8,000","$156,000"
Saint Heliers,"$2,291,000","-$44,000","$78,000","$482,000"
Wai o Taiki Bay,"$1,526,000","-$44,000","$43,000","$278,000"
Pahurehure,"$971,000","-$44,000","-$2,000","$207,000"
Aotea,"$1,212,000","-$44,000","$40,000","$265,000"
Blockhouse Bay,"$1,169,000","-$43,000","$56,000","$180,000"
Kohimarama,"$2,189,000","-$43,000","$23,000","$387,000"
Point Chevalier,"$1,882,000","-$43,000","$32,000","$409,000"
Saint Marys Bay,"$2,911,000","-$43,000","-$4,000","$641,000"
Windsor Park,"$1,339,000","-$43,000","$39,000","$182,000"
