Location,18-day difference,YoY difference
Auckland,12.78,31.7
Bay of Plenty,25.68,94.34
Canterbury,-1.89,21.3
Christchurch,-4.44,13.91
Dunedin,-4.93,34
Gisborne,-2.94,-15.38
Hamilton,10.12,51.02
Hawke's Bay,-4.84,36.57
Manawatu-Whanganui,-6.37,37.61
Marlborough,64.35,220.34
Nelson and the Bays,36.36,161.9
Northland,-20.56,2.67
Otago,4.8,35.61
Queenstown-Lakes,14.77,36.68
Southland,-17.33,-5.11
Taranaki,-5.3,118.62
Tauranga,20.44,116.89
Waikato,6.91,55.61
Wellington,5.64,7.42
Wellington City,13.79,21.26
West Coast,-18.87,75.51
