X.1,Rolling 3-month change,Rolling 4-week change
6/01/2020,2.2,0.1
13/01/2020,2.3,0.5
20/01/2020,2.3,0.8
27/01/2020,2.4,1.1
3/02/2020,3,1.6
10/02/2020,3.3,1.6
17/02/2020,3.4,1.7
24/02/2020,3.4,1.7
2/03/2020,3.5,1.4
9/03/2020,3.4,1.2
16/03/2020,3.4,0.8
23/03/2020,3.6,0.8
30/03/2020,3.6,0.4
6/04/2020,3.2,0
13/04/2020,2.7,-0.1
20/04/2020,2.1,-0.6
27/04/2020,1.9,-0.6
4/05/2020,1.1,-0.5
11/05/2020,0.7,-0.4
18/05/2020,0.3,-0.1
25/05/2020,0,-0.1
1/06/2020,-0.1,0.3
8/06/2020,-0.4,0.1
15/06/2020,-0.4,0.1
22/06/2020,-0.5,0.3
29/06/2020,-0.5,0
6/07/2020,-0.3,0.1
13/07/2020,0,0.3
20/07/2020,0.5,0.4
27/07/2020,0.7,0.5
3/08/2020,0.9,0.7
10/08/2020,1.2,0.8
17/08/2020,2,1.3
24/08/2020,2.2,1.4
31/08/2020,2.2,1.6
7/09/2020,2.9,1.8
14/09/2020,3.3,1.4
21/09/2020,3.6,1.7
28/09/2020,4.2,1.9
5/10/2020,4.8,2
12/10/2020,5.2,2.1
19/10/2020,5.6,2.3
26/10/2020,6.1,2.4
2/11/2020,6.6,2.4
9/11/2020,7,2.5
16/11/2020,6.8,2.5
23/11/2020,7.3,2.6
30/11/2020,7.5,2.4
7/12/2020,7.6,2.4
14/12/2020,7.8,2.4
21/12/2020,7.8,2.1
28/12/2020,7.6,2
4/01/2021,7.3,1.8
11/01/2021,7.3,1.6
18/01/2021,7.1,1.6
25/01/2021,7,1.7
1/02/2021,6.8,1.8
8/02/2021,6.6,1.8
15/02/2021,6.7,2.1
22/02/2021,6.5,2.2
1/03/2021,6.7,2.4
8/03/2021,6.8,2.6
15/03/2021,6.9,2.6
22/03/2021,7.1,2.7
29/03/2021,7.5,2.8
5/04/2021,7.7,2.6
12/04/2021,7.8,2.5
19/04/2021,7.8,2.3
26/04/2021,7.9,2
3/05/2021,7.8,1.9
10/05/2021,7.8,1.8
17/05/2021,7.5,1.8
24/05/2021,7.3,1.6
31/05/2021,7,1.6
7/06/2021,6.5,1.4
14/06/2021,6.1,1.3
21/06/2021,5.7,1.1
28/06/2021,5,0.8
5/07/2021,4.6,0.8
12/07/2021,4.4,0.8
19/07/2021,4.4,1
26/07/2021,4.2,1.3
2/08/2021,4.3,1.6
9/08/2021,4.3,1.7
16/08/2021,4.3,1.7
23/08/2021,4.4,1.7
30/08/2021,4.4,1.6
6/09/2021,4.7,1.7
13/09/2021,4.7,1.7
20/09/2021,5,1.8
27/09/2021,5.4,1.9
4/10/2021,5.6,1.8
11/10/2021,5.8,1.9
18/10/2021,6,2
25/10/2021,6.1,1.9
1/11/2021,6.1,2
8/11/2021,6.2,2.1
15/11/2021,6.4,2.1
22/11/2021,6.5,2.1
29/11/2021,6.6,2.1
6/12/2021,6.6,2.1
13/12/2021,6.7,2
20/12/2021,6.4,1.7
27/12/2021,6,1.4
3/01/2022,5.9,1.1
10/01/2022,5.7,0.9
17/01/2022,5.3,0.9
24/01/2022,4.8,0.7
31/01/2022,4.3,0.5
7/02/2022,3.8,0.3
14/02/2022,3.2,0.1
21/02/2022,2.8,0.2
28/02/2022,2.2,0.1
7/03/2022,1.6,-0.1
14/03/2022,1.1,-0.1
21/03/2022,0.8,-0.3
28/03/2022,0.6,-0.3
4/04/2022,0.2,-0.3
11/04/2022,-0.2,-0.4
18/04/2022,-0.5,-0.4
25/04/2022,-0.6,-0.5
2/05/2022,-0.9,-0.6
9/05/2022,-1.3,-0.8
16/05/2022,-1.5,-0.9
23/05/2022,-1.8,-1
30/05/2022,-1.9,-0.9
6/06/2022,-2.1,-0.9
13/06/2022,-2.5,-1.1
20/06/2022,-2.8,-1.3
27/06/2022,-3,-1.4
4/07/2022,-3.3,-1.5
11/07/2022,-3.5,-1.4
18/07/2022,-3.7,-1.2
25/07/2022,-3.7,-1.1
1/08/2022,-3.7,-1
8/08/2022,-3.8,-1.1
15/08/2022,-4,-1.2
22/08/2022,-4.1,-1.4
29/08/2022,-4.3,-1.5
5/09/2022,-4.3,-1.4
12/09/2022,-4.4,-1.5
19/09/2022,-4.3,-1.5
26/09/2022,-4.3,-1.5
3/10/2022,-4.3,-1.5
10/10/2022,-4.2,-1.2
17/10/2022,-4.2,-1.1
24/10/2022,-4.1,-0.9
31/10/2022,-4,-0.8
7/11/2022,-3.8,-0.8
14/11/2022,-3.6,-0.6
21/11/2022,-3.5,-0.8
28/11/2022,-3.3,-0.8
5/12/2022,-3.4,-1
12/12/2022,-3.2,-1.2
19/12/2022,-3.1,-1.2
26/12/2022,-3.1,-1.2
2/01/2023,-3.2,-1.2
9/01/2023,-3.2,-1.1
16/01/2023,-3,-0.9
23/01/2023,-3.1,-0.9
30/01/2023,-3,-0.6
6/02/2023,-2.9,-0.5
13/02/2023,-2.9,-0.5
20/02/2023,-2.7,-0.4
27/02/2023,-2.6,-0.4
6/03/2023,-2.3,-0.4
13/03/2023,-2.3,-0.6
20/03/2023,-2.2,-0.7
27/03/2023,-2.2,-0.8
3/04/2023,-1.9,-0.8
10/04/2023,-1.9,-0.7
17/04/2023,-2.1,-0.8
24/04/2023,-2.1,-0.7
1/05/2023,-2.3,-0.9
8/05/2023,-2.3,-0.8
15/05/2023,-2.4,-0.7
22/05/2023,-2.5,-0.8
29/05/2023,-2.6,-0.7
5/06/2023,-2.6,-0.7
12/06/2023,-2.3,-0.5
19/06/2023,-2.1,-0.3
26/06/2023,-1.9,-0.1
3/07/2023,-1.8,0
10/07/2023,-1.5,0.1
17/07/2023,-1.2,0.1
24/07/2023,-0.9,0.2
31/07/2023,-0.5,0.3
7/08/2023,-0.4,0.2
14/08/2023,-0.1,0.3
21/08/2023,0.2,0.3
28/08/2023,0.5,0.3
4/09/2023,0.7,0.4
11/09/2023,1,0.5
18/09/2023,1.1,0.5
25/09/2023,1.3,0.6
2/10/2023,1.5,0.7
9/10/2023,1.6,0.7
16/10/2023,1.8,0.8
23/10/2023,1.9,0.8
30/10/2023,1.9,0.7
6/11/2023,2,0.6
13/11/2023,2,0.5
20/11/2023,2,0.4
27/11/2023,2.1,0.5
4/12/2023,2.2,0.6
11/12/2023,2.1,0.6
18/12/2023,2.1,0.6
25/12/2023,1.9,0.4
1/01/2024,1.6,0.1
8/01/2024,1.4,0
15/01/2024,1.1,-0.1
22/01/2024,0.9,-0.1
29/01/2024,1,0.2
5/02/2024,1,0.3
12/02/2024,1,0.4
19/02/2024,1,0.5
26/02/2024,0.8,0.3
4/03/2024,0.6,0.2
11/03/2024,0.6,0.2
18/03/2024,0.4,0
25/03/2024,0.5,0.1
1/04/2024,0.5,0
8/04/2024,0.4,-0.2
15/04/2024,0.4,-0.1
22/04/2024,0.4,-0.2
29/04/2024,0.2,-0.1
6/05/2024,0,-0.1
13/05/2024,-0.1,-0.1
20/05/2024,-0.4,-0.3
27/05/2024,-0.5,-0.4
3/06/2024,-0.7,-0.5
10/06/2024,-0.9,-0.6
17/06/2024,-0.9,-0.5
24/06/2024,-1.1,-0.5
1/07/2024,-1.1,-0.4
8/07/2024,-1.2,-0.5
15/07/2024,-1.3,-0.5
22/07/2024,-1.5,-0.6
29/07/2024,-1.6,-0.6
5/08/2024,-1.6,-0.5
12/08/2024,-1.8,-0.6
19/08/2024,-1.7,-0.5
26/08/2024,-1.7,-0.5
2/09/2024,-1.6,-0.5
9/09/2024,-1.4,-0.2
16/09/2024,-1.4,-0.2
23/09/2024,-1.1,0.1
