Suburb,TLA,Average property value,3-month change %,3-month change $
Runanga,Grey,"$301,000",8.3,23000
Lake Hayes,Queenstown-Lakes,"$2,813,000",7.6,198000
Cobden,Grey,"$323,000",7.3,22000
Richmond Heights,Taupo,"$815,000",5.2,40000
Paroa,Grey,"$714,000",5.2,35000
Motuoapa,Taupo,"$819,000",4.9,38000
Karoro,Grey,"$611,000",4.6,27000
Greymouth,Grey,"$480,000",4.3,20000
Hawthorndale,Invercargill,"$501,000",4.2,20000
Kinloch,Taupo,"$1,406,000",4,54000
Tauhara,Taupo,"$622,000",4,24000
New Lynn,Auckland Waitakere,"$874,000",3.9,33000
Hilltop,Taupo,"$899,000",3.9,34000
Bluff,Invercargill,"$356,000",3.8,13000
Otatara,Invercargill,"$805,000",3.7,29000
Fernside,Waimakariri,"$1,272,000",3.5,43000
Arrowtown,Queenstown-Lakes,"$2,799,000",3.5,94000
Georgetown,Invercargill,"$394,000",3.4,13000
Blaketown,Grey,"$336,000",3.4,11000
Oneroa,Auckland City,"$2,213,000",3.2,69000
Coastlands,Whakatane,"$1,003,000",3.2,31000
Waipahihi,Taupo,"$1,128,000",3.2,35000
Clyde,Central Otago,"$990,000",3.1,30000
Torbay,Auckland North Shore,"$1,254,000",3,37000
Kawerau,Kawerau,"$414,000",3,12000
Turangi,Taupo,"$482,000",3,14000
Maori Hill,Timaru,"$595,000",2.9,17000
Rangatira Park,Taupo,"$1,028,000",2.8,28000
Twizel,Mackenzie,"$787,000",2.7,21000
Avenal,Invercargill,"$496,000",2.7,13000
Waverley,Invercargill,"$580,000",2.7,15000
Meadowbank,Auckland City,"$1,671,000",2.6,42000
Huapai,Auckland Rodney,"$1,247,000",2.6,32000
Point Wells,Auckland Rodney,"$2,334,000",2.6,59000
Kennedys Bush,Christchurch,"$1,802,000",2.6,46000
Eyrewell,Waimakariri,"$1,029,000",2.6,26000
Lower Shotover,Queenstown-Lakes,"$1,818,000",2.6,46000
Grasmere,Invercargill,"$477,000",2.6,12000
Taupo,Taupo,"$752,000",2.6,19000
Mairehau,Christchurch,"$654,000",2.5,16000
Lake Tekapo,Mackenzie,"$1,179,000",2.5,29000
Saint Kilda,Dunedin,"$525,000",2.5,13000
Bryndwr,Christchurch,"$805,000",2.4,19000
Newfield,Invercargill,"$463,000",2.4,11000
Waikiwi,Invercargill,"$629,000",2.4,15000
