Date,Average property value
1/01/2018,685645
8/01/2018,686418
15/01/2018,686232
22/01/2018,686509
29/01/2018,686882
5/02/2018,688020
12/02/2018,688478
19/02/2018,688895
26/02/2018,689494
5/03/2018,690992
12/03/2018,692092
19/03/2018,692513
26/03/2018,693097
2/04/2018,695049
9/04/2018,695907
16/04/2018,696279
23/04/2018,696214
30/04/2018,696351
7/05/2018,698230
14/05/2018,698973
21/05/2018,699195
28/05/2018,699615
4/06/2018,700775
11/06/2018,701244
18/06/2018,701957
25/06/2018,702169
2/07/2018,703077
9/07/2018,704342
16/07/2018,704063
23/07/2018,703989
30/07/2018,704592
6/08/2018,705475
13/08/2018,706136
20/08/2018,706226
27/08/2018,706750
3/09/2018,707730
10/09/2018,707886
17/09/2018,708353
24/09/2018,708186
1/10/2018,707878
8/10/2018,708651
15/10/2018,709242
22/10/2018,709481
29/10/2018,709701
5/11/2018,710189
12/11/2018,710250
19/11/2018,710309
26/11/2018,710316
3/12/2018,710670
10/12/2018,710987
17/12/2018,711131
24/12/2018,710945
31/12/2018,710810
7/01/2019,711388
14/01/2019,711472
21/01/2019,711892
28/01/2019,712341
4/02/2019,713379
11/02/2019,713937
18/02/2019,713724
25/02/2019,714547
4/03/2019,715528
11/03/2019,715641
18/03/2019,715924
25/03/2019,716341
1/04/2019,716925
8/04/2019,717226
15/04/2019,717318
22/04/2019,717417
29/04/2019,717345
6/05/2019,718145
13/05/2019,718370
20/05/2019,717423
27/05/2019,716091
3/06/2019,716269
10/06/2019,716846
17/06/2019,716699
24/06/2019,716910
1/07/2019,716978
8/07/2019,714384
15/07/2019,714985
22/07/2019,716107
29/07/2019,717076
5/08/2019,717979
12/08/2019,719246
19/08/2019,720091
26/08/2019,721526
2/09/2019,722673
9/09/2019,723717
16/09/2019,725028
23/09/2019,726962
30/09/2019,728653
7/10/2019,730780
14/10/2019,732936
21/10/2019,734804
28/10/2019,735691
4/11/2019,736716
11/11/2019,738457
18/11/2019,740157
25/11/2019,741514
2/12/2019,744190
9/12/2019,745760
16/12/2019,746009
23/12/2019,746371
30/12/2019,746106
6/01/2020,747247
13/01/2020,750068
20/01/2020,751820
27/01/2020,754149
3/02/2020,759071
10/02/2020,762286
17/02/2020,764682
24/02/2020,766787
2/03/2020,770361
9/03/2020,771463
16/03/2020,771202
23/03/2020,773192
30/03/2020,773469
6/04/2020,771227
13/04/2020,770418
20/04/2020,768413
27/04/2020,768037
4/05/2020,767422
11/05/2020,767328
18/05/2020,766912
25/05/2020,767380
1/06/2020,768633
8/06/2020,768457
15/06/2020,768047
22/06/2020,769323
29/06/2020,769247
6/07/2020,769048
13/07/2020,770177
20/07/2020,771645
27/07/2020,772837
3/08/2020,774388
10/08/2020,776466
17/08/2020,781635
24/08/2020,783753
31/08/2020,786442
7/09/2020,789766
14/09/2020,793238
21/09/2020,797253
28/09/2020,801449
5/10/2020,805940
12/10/2020,810148
19/10/2020,814734
26/10/2020,819792
2/11/2020,825002
9/11/2020,830102
16/11/2020,835371
23/11/2020,840524
30/11/2020,845276
7/12/2020,850011
14/12/2020,855033
21/12/2020,858747
28/12/2020,861886
4/01/2021,865345
11/01/2021,869220
18/01/2021,873220
25/01/2021,876535
1/02/2021,880771
8/02/2021,885334
15/02/2021,890826
22/02/2021,896180
1/03/2021,902181
