Suburb,TLA,Current average property value,1-year change %
Blaketown,Grey,"$349,000",25.1
Woodville,Tararua,"$446,000",21.9
Cobden,Grey,"$329,000",21.9
Runanga,Grey,"$308,000",19.8
Hokitika,Westland,"$486,000",17.1
Pahiatua,Tararua,"$491,000",16.9
Karoro,Grey,"$624,000",14.1
Lake Hayes,Queenstown-Lakes,"$2,771,000",13.8
Greymouth,Grey,"$474,000",13.7
Methven,Ashburton,"$759,000",12.4
Arrowtown,Queenstown-Lakes,"$2,800,000",12.1
Kaikoura,Kaikoura,"$766,000",9.4
Ahuriri,Napier,"$1,098,000",9.3
Lake Tekapo,Mackenzie,"$1,184,000",9.2
Whanganui,Whanganui,"$430,000",9.1
Tapanui,Clutha,"$437,000",9
Riversdale Beach,Masterton,"$955,000",8.6
Rakaia,Ashburton,"$581,000",8.4
Hampstead,Ashburton,"$468,000",7.6
Wanaka,Queenstown-Lakes,"$2,150,000",7.6
Weston,Waitaki,"$747,000",7.6
Gonville,Whanganui,"$448,000",7.4
Te Anau,Southland,"$812,000",7.4
Mount Pisa,Central Otago,"$1,492,000",7.3
Frankton,Queenstown-Lakes,"$1,313,000",7.2
Kaitangata,Clutha,"$312,000",6.8
Netherby,Ashburton,"$576,000",6.7
Queenstown,Queenstown-Lakes,"$1,791,000",6.7
Beerescourt,Hamilton,"$1,053,000",6.3
Allenton,Ashburton,"$653,000",6
Kaiti,Gisborne,"$515,000",6
Richmond,Invercargill,"$500,000",5.9
Eltham,South Taranaki,"$428,000",5.9
Takaka,Tasman,"$713,000",5.9
Ashburton,Ashburton,"$526,000",5.8
Twizel,Mackenzie,"$783,000",5.8
Richmond Heights,Taupo,"$815,000",5.8
Matakana,Auckland Rodney,"$1,973,000",5.7
Loburn,Waimakariri,"$1,196,000",5.6
Outer Kaiti,Gisborne,"$498,000",5.5
Liberton,Dunedin,"$500,000",5.5
Fernhill,Queenstown-Lakes,"$1,381,000",5.5
Lower Shotover,Queenstown-Lakes,"$1,814,000",5.5
Eyrewell,Waimakariri,"$1,067,000",5.4
Bradford,Dunedin,"$600,000",5.4
Wakari,Dunedin,"$620,000",5.4
Waikanae Beach,Kapiti Coast,"$941,000",5.4
Avenal,Invercargill,"$493,000",5.3
Grasmere,Invercargill,"$473,000",5.1
Wallacetown,Southland,"$582,000",5.1
Kirwee,Selwyn,"$1,031,000",4.9
Aranui,Christchurch,"$499,000",4.8
Springvale,Whanganui,"$592,000",4.8
Whanganui East,Whanganui,"$464,000",4.7
Newfield,Invercargill,"$465,000",4.7
Wainoni,Christchurch,"$530,000",4.5
Helensburgh,Dunedin,"$744,000",4.5
Strathern,Invercargill,"$393,000",4.5
Piopio,Waitomo,"$462,000",4.5
Marshland,Christchurch,"$1,104,000",4.4
Saint Kilda,Dunedin,"$521,000",4.4
Hawthorndale,Invercargill,"$495,000",4.4
Waverley,South Taranaki,"$423,000",4.4
Tinwald,Ashburton,"$628,000",4.3
Papanui,Christchurch,"$778,000",4.3
Kinloch,Taupo,"$1,407,000",4.3
Oneroa,Auckland City,"$2,191,000",4.2
Avondale,Christchurch,"$575,000",4.2
Fernside,Waimakariri,"$1,304,000",4.2
Sefton,Waimakariri,"$1,016,000",4.2
Point Wells,Auckland Rodney,"$2,414,000",4.1
Dallington,Christchurch,"$608,000",4.1
College Estate,Whanganui,"$614,000",4.1
Mangawhai,Kaipara,"$1,377,000",4.1
Kennedys Bush,Christchurch,"$1,811,000",4
Phillipstown,Christchurch,"$467,000",4
Kaikorai,Dunedin,"$598,000",4
Palmerston,Waitaki,"$442,000",4
Cromwell,Central Otago,"$1,008,000",3.9
Abbotsford,Dunedin,"$633,000",3.9
Green Island,Dunedin,"$620,000",3.9
Appleby,Invercargill,"$350,000",3.9
Paraparaumu,Kapiti Coast,"$799,000",3.9
Southshore,Christchurch,"$730,000",3.8
Cust,Waimakariri,"$1,079,000",3.8
Tawhero,Whanganui,"$544,000",3.8
Hilltop,Taupo,"$903,000",3.8
Deanwell,Waipa,"$664,000",3.8
Solway,Masterton,"$622,000",3.8
Hillmorton,Christchurch,"$696,000",3.7
Templeton,Christchurch,"$817,000",3.7
Stoke,Nelson,"$757,000",3.7
Georgetown,Invercargill,"$391,000",3.7
Windsor,Invercargill,"$588,000",3.7
Hamilton Lake,Hamilton,"$931,000",3.7
Taupo,Taupo,"$764,000",3.7
Raglan,Waikato,"$1,197,000",3.7
Waimate,Waimate,"$522,000",3.6
Mosgiel,Dunedin,"$744,000",3.6
Oamaru North,Waitaki,"$487,000",3.6
Maeroa,Hamilton,"$754,000",3.6
Fairview Downs,Waikato,"$742,000",3.6
Diamond Harbour,Christchurch,"$795,000",3.5
Brighton,Dunedin,"$749,000",3.5
Outram,Dunedin,"$850,000",3.5
Islington,Christchurch,"$586,000",3.4
Woolston,Christchurch,"$580,000",3.4
Mornington,Dunedin,"$586,000",3.4
Waipahihi,Taupo,"$1,141,000",3.4
Kawerau,Kawerau,"$402,000",3.3
Fendalton,Christchurch,"$1,782,000",3.3
Hei Hei,Christchurch,"$624,000",3.3
Hanmer Springs,Hurunui,"$856,000",3.3
Brockville,Dunedin,"$539,000",3.3
