Suburb,District,Average property value,3-month change %
Ahuriri,Napier,"$1,107,000",8.1
Runanga,Grey,"$324,000",7.6
Coatesville,Auckland Rodney,"$3,620,000",7.1
Point Wells,Auckland Rodney,"$2,486,000",6.4
Wellsford,Auckland Rodney,"$870,000",6
Martinborough,South Wairarapa,"$1,035,000",6
Hunua,Auckland Franklin,"$1,424,000",6
Matakana,Auckland Rodney,"$2,028,000",6
Opotiki,Opotiki,"$485,000",5.9
Maraenui,Napier,"$500,000",5.9
Kaukapakapa,Auckland Rodney,"$1,454,000",5.8
Dairy Flat,Auckland Rodney,"$2,411,000",5.8
Mangakakahi,Rotorua,"$542,000",5.7
Pukehangi,Rotorua,"$653,000",5.7
Clevedon,Auckland Manukau,"$2,054,000",5.6
Grandview Heights,Hamilton,"$924,000",5.5
Omaha,Auckland Rodney,"$2,902,000",5.5
Fairview Downs,Waikato,"$743,000",5.4
Westshore,Napier,"$1,045,000",5.4
Matarangi,Thames-Coromandel,"$1,176,000",5.4
Paerata,Auckland Franklin,"$1,397,000",5.4
Totara Park,Auckland Manukau,"$1,519,000",5.4
Ramarama,Auckland Franklin,"$1,477,000",5.3
Kawaha Point,Rotorua,"$794,000",5.2
Te Awa,Napier,"$828,000",5.2
Long Bay,Auckland North Shore,"$1,763,000",5.1
Blaketown,Grey,"$354,000",5
Fairy Springs,Rotorua,"$569,000",5
Stillwater,Auckland Rodney,"$1,645,000",4.9
Selwyn Heights,Rotorua,"$541,000",4.8
Loburn,Waimakariri,"$1,217,000",4.8
Papamoa Beach,Tauranga,"$1,088,000",4.7
Pinehill,Auckland North Shore,"$1,832,000",4.7
Springfield,Rotorua,"$821,000",4.6
Onehunga,Auckland City,"$1,107,000",4.6
Point Chevalier,Auckland City,"$1,902,000",4.6
Ruawai,Kaipara,"$489,000",4.5
Aramoho,Whanganui,"$508,000",4.5
Glenholme,Rotorua,"$674,000",4.5
Chedworth,Hamilton,"$922,000",4.5
Helensville,Auckland Rodney,"$1,198,000",4.5
Glenbrook,Auckland Franklin,"$1,174,000",4.4
Reefton,Buller,"$389,000",4.3
Maeroa,Hamilton,"$747,000",4.3
Fitzroy,Hamilton,"$803,000",4.3
Fenton Park,Rotorua,"$516,000",4.2
Snells Beach,Auckland Rodney,"$1,139,000",4.2
Sunnyhills,Auckland Manukau,"$1,666,000",4.2
Schnapper Rock,Auckland North Shore,"$1,696,000",4.2
Western Heights,Rotorua,"$532,000",4.1
Westport,Buller,"$417,000",4
Weymouth,Auckland Manukau,"$805,000",4
Te Anau,Southland,"$814,000",4
Opaheke,Auckland Papakura,"$1,050,000",4
St Andrews,Hamilton,"$858,000",3.9
Lynmore,Rotorua,"$944,000",3.9
New Windsor,Auckland City,"$1,226,000",3.9
Waimauku,Auckland Rodney,"$1,624,000",3.9
Eltham,South Taranaki,"$435,000",3.8
Tamatea,Napier,"$623,000",3.8
Melville,Hamilton,"$663,000",3.8
Paekakariki,Kapiti Coast,"$959,000",3.8
Greytown,South Wairarapa,"$973,000",3.8
Rototuna,Hamilton,"$1,029,000",3.8
Khandallah,Wellington,"$1,250,000",3.8
Waikanae Beach,Kapiti Coast,"$969,000",3.7
Birkdale,Auckland North Shore,"$975,000",3.7
Glenfield,Auckland North Shore,"$1,066,000",3.7
Herne Bay,Auckland City,"$3,671,000",3.7
Hokitika,Westland,"$483,000",3.6
Pukete,Hamilton,"$829,000",3.6
Bluff Hill,Napier,"$959,000",3.6
Sefton,Waimakariri,"$1,025,000",3.6
Warkworth,Auckland Rodney,"$1,235,000",3.6
Browns Bay,Auckland North Shore,"$1,268,000",3.6
Mangawhai Heads,Kaipara,"$1,420,000",3.6
Rothesay Bay,Auckland North Shore,"$1,642,000",3.6
Parakai,Auckland Rodney,"$772,000",3.5
