Suburb,District,Average property value,3-month change
Auckland Central,Auckland City,572000,3.4
Avondale,Auckland City,959000,3.6
Blockhouse Bay,Auckland City,1161000,1.8
Eden Terrace,Auckland City,817000,1.5
Ellerslie,Auckland City,1210000,1.5
Epsom,Auckland City,2172000,1.8
Freemans Bay,Auckland City,1708000,3.1
Glen Innes,Auckland City,1132000,1.4
Glendowie,Auckland City,2291000,2.4
Grafton,Auckland City,666000,0.9
Greenlane,Auckland City,1873000,2
Grey Lynn,Auckland City,1779000,0.4
Herne Bay,Auckland City,3687000,2.7
Hillsborough,Auckland City,1320000,4.8
Kingsland,Auckland City,1396000,3.2
Kohimarama,Auckland City,2216000,1.5
Lynfield,Auckland City,1333000,3.2
Meadowbank,Auckland City,1661000,2.8
Mission Bay,Auckland City,2223000,1.1
Morningside,Auckland City,1289000,5.2
Mount Albert,Auckland City,1394000,6.9
Mount Eden,Auckland City,1763000,3.5
Mount Roskill,Auckland City,1131000,0.4
Mount Wellington,Auckland City,978000,2.9
New Windsor,Auckland City,1228000,2.8
Newmarket,Auckland City,839000,-1.9
One Tree Hill,Auckland City,1354000,2.2
Onehunga,Auckland City,1110000,3.3
Oneroa,Auckland City,2212000,0.9
Onetangi,Auckland City,1988000,2.7
Orakei,Auckland City,2444000,2.2
Ostend,Auckland City,1481000,3.5
Otahuhu,Auckland City,747000,1.1
Palm Beach,Auckland City,2044000,1.1
Panmure,Auckland City,1002000,1.3
Parnell,Auckland City,2081000,1
Penrose,Auckland City,980000,0
Point Chevalier,Auckland City,1912000,1.8
Point England,Auckland City,955000,-0.8
Ponsonby,Auckland City,2426000,2.8
Remuera,Auckland City,2638000,1.7
Royal Oak,Auckland City,1380000,1.6
Saint Heliers,Auckland City,2315000,0.4
Saint Johns,Auckland City,1500000,1.6
Saint Marys Bay,Auckland City,2986000,2.5
Sandringham,Auckland City,1381000,1.8
Stonefields,Auckland City,1558000,1.2
Surfdale,Auckland City,1368000,3.2
Three Kings,Auckland City,1153000,2.1
Wai o Taiki Bay,Auckland City,1557000,2.6
Waterview,Auckland City,1039000,3.4
Wesley,Auckland City,1131000,3.8
Westmere,Auckland City,2584000,1.5
Clarks Beach,Auckland Franklin,1146000,-0.3
Glenbrook,Auckland Franklin,1173000,2.5
Hunua,Auckland Franklin,1406000,2.5
Paerata,Auckland Franklin,1399000,3.8
Patumahoe,Auckland Franklin,1278000,1.9
Pukekohe,Auckland Franklin,898000,0.6
Ramarama,Auckland Franklin,1477000,4
Waiuku,Auckland Franklin,887000,2.9
Beachlands,Auckland Manukau,1577000,-0.2
Botany Downs,Auckland Manukau,1234000,0.1
Bucklands Beach,Auckland Manukau,1674000,1.2
Clendon Park,Auckland Manukau,732000,-0.4
Clevedon,Auckland Manukau,2039000,2.9
Clover Park,Auckland Manukau,861000,1.2
Cockle Bay,Auckland Manukau,1631000,1.6
Dannemora,Auckland Manukau,1666000,0.8
East Tamaki,Auckland Manukau,1135000,2.7
East Tamaki Heights,Auckland Manukau,1789000,1.9
Eastern Beach,Auckland Manukau,1926000,3.9
Farm Cove,Auckland Manukau,1750000,2.3
Favona,Auckland Manukau,855000,0.4
Flat Bush,Auckland Manukau,1322000,1.7
Golflands,Auckland Manukau,1301000,2.6
Goodwood Heights,Auckland Manukau,1074000,2.8
Half Moon Bay,Auckland Manukau,1596000,3.2
Highland Park,Auckland Manukau,1142000,0.3
Hillpark,Auckland Manukau,936000,4.5
Howick,Auckland Manukau,1177000,2.3
Mangere,Auckland Manukau,848000,1
Mangere Bridge,Auckland Manukau,1146000,1.4
Mangere East,Auckland Manukau,871000,-1.2
Manukau,Auckland Manukau,609000,-0.2
Manurewa,Auckland Manukau,784000,0.1
Manurewa East,Auckland Manukau,715000,1.1
Maraetai,Auckland Manukau,1569000,1.9
Mellons Bay,Auckland Manukau,2158000,3.2
Northpark,Auckland Manukau,1471000,2.4
Otara,Auckland Manukau,756000,0.3
Pakuranga,Auckland Manukau,1122000,1.5
Pakuranga Heights,Auckland Manukau,1149000,1.8
Papatoetoe,Auckland Manukau,840000,1.8
Randwick Park,Auckland Manukau,783000,2.4
Shelly Park,Auckland Manukau,1588000,2.1
Somerville,Auckland Manukau,1481000,2.7
Sunnyhills,Auckland Manukau,1670000,4.1
The Gardens,Auckland Manukau,1279000,1.8
Totara Heights,Auckland Manukau,1028000,1.9
Totara Park,Auckland Manukau,1507000,3.8
Wattle Downs,Auckland Manukau,1025000,0.9
Weymouth,Auckland Manukau,803000,1.6
Whitford,Auckland Manukau,3313000,-0.6
Wiri,Auckland Manukau,684000,0.6
Albany,Auckland North Shore,1152000,1.7
Albany Heights,Auckland North Shore,1435000,3.2
Bayswater,Auckland North Shore,1693000,3
Bayview,Auckland North Shore,1035000,4
Beach Haven,Auckland North Shore,1073000,2.9
Belmont,Auckland North Shore,1542000,0.6
Birkdale,Auckland North Shore,978000,3.7
Birkenhead,Auckland North Shore,1321000,2.6
Browns Bay,Auckland North Shore,1273000,3.8
Campbells Bay,Auckland North Shore,2411000,2.7
Castor Bay,Auckland North Shore,1975000,-0.6
Chatswood,Auckland North Shore,1490000,1.8
Devonport,Auckland North Shore,2172000,3.1
Fairview Heights,Auckland North Shore,1650000,2.3
Forrest Hill,Auckland North Shore,1411000,1.1
Glenfield,Auckland North Shore,1056000,1.6
Greenhithe,Auckland North Shore,1838000,1.7
Hauraki,Auckland North Shore,2015000,2.6
Hillcrest,Auckland North Shore,1254000,4.3
Long Bay,Auckland North Shore,1704000,0.9
Mairangi Bay,Auckland North Shore,1790000,3.6
Milford,Auckland North Shore,1817000,2.6
Murrays Bay,Auckland North Shore,1825000,1.1
Narrow Neck,Auckland North Shore,1961000,3.9
Northcote,Auckland North Shore,1200000,2.7
Northcote Point,Auckland North Shore,1746000,3.4
Northcross,Auckland North Shore,1316000,2.8
Oteha,Auckland North Shore,1205000,2.5
Pinehill,Auckland North Shore,1827000,3.2
Rothesay Bay,Auckland North Shore,1675000,5.8
Schnapper Rock,Auckland North Shore,1708000,4
Sunnynook,Auckland North Shore,1233000,3.9
Takapuna,Auckland North Shore,2182000,1.3
Torbay,Auckland North Shore,1280000,0.2
Totara Vale,Auckland North Shore,1037000,1.3
Unsworth Heights,Auckland North Shore,1190000,1.3
Windsor Park,Auckland North Shore,1383000,2.3
Conifer Grove,Auckland Papakura,1031000,3.2
Karaka,Auckland Papakura,1603000,2.8
Opaheke,Auckland Papakura,1045000,2.7
Pahurehure,Auckland Papakura,983000,1.4
Papakura,Auckland Papakura,807000,-0.4
Red Hill,Auckland Papakura,821000,3.5
Rosehill,Auckland Papakura,941000,2.1
Takanini,Auckland Papakura,915000,1
Arkles Bay,Auckland Rodney,1139000,2.4
Army Bay,Auckland Rodney,1144000,1.7
Coatesville,Auckland Rodney,3584000,3.6
Dairy Flat,Auckland Rodney,2396000,4.7
Gulf Harbour,Auckland Rodney,1094000,2.2
Hatfields Beach,Auckland Rodney,1171000,2.4
Helensville,Auckland Rodney,1188000,2.3
Huapai,Auckland Rodney,1291000,0.9
Kaukapakapa,Auckland Rodney,1427000,1.7
Kumeu,Auckland Rodney,1514000,1.1
Manly,Auckland Rodney,1247000,2
Matakana,Auckland Rodney,2046000,5.6
Muriwai,Auckland Rodney,1485000,3.7
Omaha,Auckland Rodney,2947000,6
Orewa,Auckland Rodney,1250000,1.2
Parakai,Auckland Rodney,773000,1.7
Point Wells,Auckland Rodney,2505000,5.6
Red Beach,Auckland Rodney,1250000,1.1
Riverhead,Auckland Rodney,1836000,1.1
Silverdale,Auckland Rodney,1364000,2.1
Snells Beach,Auckland Rodney,1147000,4.7
Stanmore Bay,Auckland Rodney,1089000,3.1
Stillwater,Auckland Rodney,1650000,3.6
Tindalls Beach,Auckland Rodney,1672000,3.6
Waimauku,Auckland Rodney,1606000,1.8
Wainui,Auckland Rodney,1405000,0.7
Warkworth,Auckland Rodney,1245000,3.2
Wellsford,Auckland Rodney,870000,3.8
Glen Eden,Auckland Waitakere,865000,2.6
