Suburb,District,Current average property value,3-month change
Runanga,Grey,"$330,000",7.10%
Ahuriri,Napier,"$1,169,000",6.50%
Putaruru,South Waikato,"$560,000",6.30%
Roxburgh,Central Otago,"$514,000",5.30%
Taumarunui,Ruapehu,"$374,000",5.10%
Reefton,Buller,"$393,000",4.80%
Bridge Hill,Central Otago,"$985,000",4.50%
Clyde,Central Otago,"$989,000",4.50%
Carterton,Carterton,"$645,000",4.40%
Woodville,Tararua,"$465,000",4.30%
Fenton Park,Rotorua,"$514,000",4.30%
Tirau,South Waikato,"$683,000",4.30%
Mount Eden,Auckland City,"$1,765,000",4.30%
Morningside,Auckland City,"$1,282,000",4.10%
Westport,Buller,"$419,000",4.00%
Morrinsville,Matamata-Piako,"$815,000",4.00%
Great Barrier Island (Aotea Island),Auckland City,"$825,000",4.00%
Paraparaumu Beach,Kapiti Coast,"$887,000",4.00%
Hillpark,Auckland Manukau,"$930,000",3.90%
Glenholme,Rotorua,"$677,000",3.80%
Pukehina,Western Bay of Plenty,"$1,254,000",3.80%
Kawerau,Kawerau,"$417,000",3.70%
Ranfurly,Central Otago,"$475,000",3.70%
Utuhina,Rotorua,"$586,000",3.70%
Henderson,Auckland Waitakere,"$931,000",3.70%
Hospital Hill,Napier,"$937,000",3.70%
Matakana,Auckland Rodney,"$2,046,000",3.70%
Omaha,Auckland Rodney,"$2,916,000",3.70%
Fitzroy,New Plymouth,"$969,000",3.60%
Ohope,Whakatane,"$1,297,000",3.60%
Tai Tapu,Selwyn,"$1,555,000",3.50%
Elgin,Gisborne,"$487,000",3.40%
Narrow Neck,Auckland North Shore,"$1,972,000",3.40%
Coatesville,Auckland Rodney,"$3,657,000",3.40%
Mount Albert,Auckland City,"$1,382,000",3.30%
Whangamata,Thames-Coromandel,"$1,428,000",3.30%
Mairangi Bay,Auckland North Shore,"$1,799,000",3.30%
Blaketown,Grey,"$360,000",3.20%
Bayview,Auckland North Shore,"$1,043,000",3.20%
Tokoroa,South Waikato,"$437,000",3.10%
Western Heights,Rotorua,"$528,000",3.10%
