Suburb,Current average property value,3-month change %,3-month change $
Arrowtown,"$2,888,000",2.8,79000
Glenorchy,"$1,573,000",5,75000
Merivale,"$1,632,000",4.3,68000
Narrow Neck,"$2,001,000",3.1,61000
Wanaka,"$2,151,000",2.8,59000
Remuera,"$2,674,000",2.2,58000
Mount Eden,"$1,775,000",2.8,49000
Prebbleton,"$1,347,000",3.5,46000
Surfdale,"$1,387,000",3.4,46000
Mount Albert,"$1,379,000",3.4,45000
Upper Moutere,"$1,329,000",3.3,43000
Tasman,"$1,594,000",2.8,43000
Redwood Valley,"$1,620,000",2.7,42000
Cromwell,"$1,045,000",4,40000
Hope,"$1,283,000",3.1,39000
Albert Town,"$1,665,000",2.4,39000
Jacks Point,"$1,801,000",2.2,39000
Tai Tapu,"$1,555,000",2.5,38000
Huntingdon,"$1,145,000",3.3,37000
Makauri,"$1,352,000",2.7,36000
Riverton/Aparima,"$674,000",5.3,34000
Royal Oak,"$1,406,000",2.5,34000
Fendalton,"$1,776,000",2,34000
Ponsonby,"$2,419,000",1.4,34000
Lake Hayes,"$2,785,000",1.2,34000
Pukehina,"$1,263,000",2.7,33000
Bucklands Beach,"$1,692,000",2,33000
Hillpark,"$937,000",3.5,32000
Methven,"$773,000",4.2,31000
Eskdale,"$1,378,000",2.3,31000
Mairangi Bay,"$1,803,000",1.7,31000
Wakefield,"$933,000",3.3,30000
Omanawa,"$1,439,000",2.1,30000
Lower Shotover,"$1,863,000",1.6,30000
Eastern Beach,"$1,919,000",1.6,30000
Waipu,"$1,150,000",2.6,29000
Milford,"$1,841,000",1.6,29000
Ahuriri,"$1,135,000",2.5,28000
Aongatete,"$1,335,000",2.1,28000
Orakei,"$2,464,000",1.1,28000
Takaka,"$748,000",3.7,27000
Riwaka,"$822,000",3.4,27000
Brightwater,"$958,000",2.9,27000
Karori,"$1,076,000",2.6,27000
Morningside,"$1,283,000",2.1,27000
Te Anau,"$840,000",3.2,26000
Mount Wellington,"$987,000",2.7,26000
Whitianga,"$1,065,000",2.5,26000
Pirongia,"$1,039,000",2.5,25000
Bayview,"$1,051,000",2.4,25000
Howick,"$1,185,000",2.2,25000
Stanley Point,"$2,509,000",1,25000
Upper Riccarton,"$709,000",3.5,24000
Te Kowhai,"$1,316,000",1.9,24000
Murrays Bay,"$1,826,000",1.3,24000
Appleby,"$1,042,000",2.3,23000
Flagstaff,"$1,152,000",2,23000
Lake Tekapo,"$1,222,000",1.9,23000
Sumner,"$1,225,000",1.9,23000
Ohope,"$1,303,000",1.8,23000
Pauanui,"$1,550,000",1.5,23000
Te Kuiti,"$469,000",4.9,22000
Cracroft,"$1,195,000",1.9,22000
Birkenhead,"$1,339,000",1.7,22000
Dairy Flat,"$2,433,000",0.9,22000
Rakaia,"$588,000",3.7,21000
Burwood,"$720,000",3,21000
Paraparaumu Beach,"$889,000",2.4,21000
Fitzroy,"$966,000",2.2,21000
Harewood,"$1,125,000",1.9,21000
Tutukaka,"$1,296,000",1.6,21000
Minden,"$1,660,000",1.3,21000
Stillwater,"$1,666,000",1.3,21000
Coatesville,"$3,641,000",0.6,21000
Inner Kaiti,"$718,000",2.9,20000
Parklands,"$770,000",2.7,20000
Darfield,"$866,000",2.4,20000
Lytton West,"$915,000",2.2,20000
Ilam,"$964,000",2.1,20000
Goodwood Heights,"$1,083,000",1.9,20000
Waterview,"$1,047,000",1.9,20000
Blockhouse Bay,"$1,182,000",1.7,20000
Gisborne,"$567,000",3.5,19000
Otaki Beach,"$637,000",3.1,19000
Riverdale,"$790,000",2.5,19000
Opawa,"$797,000",2.4,19000
Mangere,"$858,000",2.3,19000
Atawhai,"$934,000",2.1,19000
Mapua,"$1,148,000",1.7,19000
Haumoana,"$1,196,000",1.6,19000
Ohaupo,"$1,283,000",1.5,19000
Herne Bay,"$3,690,000",0.5,19000
Matata,"$889,000",2.1,18000
Whangamata,"$1,427,000",1.3,18000
Shelly Park,"$1,596,000",1.1,18000
Edgecumbe,"$656,000",2.7,17000
Rongotea,"$725,000",2.4,17000
Dinsdale,"$721,000",2.4,17000
Waiwhetu,"$729,000",2.4,17000
Woodend,"$749,000",2.3,17000
Twizel,"$797,000",2.2,17000
Saint Clair,"$880,000",2,17000
St Albans,"$898,000",1.9,17000
Glen Innes,"$1,143,000",1.5,17000
Flat Bush,"$1,335,000",1.3,17000
Oropi,"$1,565,000",1.1,17000
Matangi,"$1,690,000",1,17000
Saint Marys Bay,"$2,971,000",0.6,17000
Tinwald,"$642,000",2.6,16000
Motueka,"$738,000",2.2,16000
Paraparaumu,"$809,000",2,16000
Hurdon,"$818,000",2,16000
Richmond,"$846,000",1.9,16000
Wellsford,"$886,000",1.8,16000
Strandon,"$1,008,000",1.6,16000
Hurworth,"$1,153,000",1.4,16000
Westmorland,"$1,193,000",1.4,16000
Clarks Beach,"$1,167,000",1.4,16000
Hillcrest,"$1,251,000",1.3,16000
Strowan,"$1,248,000",1.3,16000
Buckland,"$1,340,000",1.2,16000
Ohoka,"$1,525,000",1.1,16000
Fairview Heights,"$1,658,000",1,16000
Piopio,"$475,000",3.3,15000
Marfell,"$497,000",3.1,15000
Roxburgh,"$514,000",3,15000
Ashburton,"$531,000",2.9,15000
Hamilton East,"$736,000",2.1,15000
Southshore,"$731,000",2.1,15000
Paparoa,"$732,000",2.1,15000
Ferndale,"$804,000",1.9,15000
Alicetown,"$808,000",1.9,15000
Hillsborough,"$833,000",1.8,15000
Ranui,"$838,000",1.8,15000
Wigram,"$873,000",1.7,15000
Roslyn,"$896,000",1.7,15000
Taupiri,"$1,030,000",1.5,15000
Luggate,"$1,200,000",1.3,15000
Tahawai,"$1,261,000",1.2,15000
Rothesay Bay,"$1,657,000",0.9,15000
Gladstone,"$642,000",2.2,14000
Oxford,"$724,000",2,14000
Ngaruawahia,"$745,000",1.9,14000
Brighton,"$753,000",1.9,14000
Te Puke,"$833,000",1.7,14000
Coromandel,"$834,000",1.7,14000
Burnside,"$905,000",1.6,14000
Frimley,"$890,000",1.6,14000
Burleigh,"$1,027,000",1.4,14000
Athenree,"$1,121,000",1.3,14000
Mount Pleasant,"$1,182,000",1.2,14000
Aokautere,"$1,160,000",1.2,14000
Swanson,"$1,161,000",1.2,14000
Forrest Hill,"$1,421,000",1,14000
Mellons Bay,"$2,129,000",0.7,14000
Taihape,"$397,000",3.4,13000
Kawerau,"$421,000",3.2,13000
Hornby,"$623,000",2.1,13000
Halfway Bush,"$633,000",2.1,13000
