Suburb,Average property value,6-month change %,6-month change $
Auckland Central,"$557,000",-2.79,-16000
Avondale,"$952,000",0.85,8000
Blockhouse Bay,"$1,164,000",1.39,16000
Eden Terrace,"$811,000",1,8000
Ellerslie,"$1,214,000",1.76,21000
Epsom,"$2,157,000",1.03,22000
Freemans Bay,"$1,680,000",0.66,11000
Glen Innes,"$1,130,000",1.89,21000
Glendowie,"$2,262,000",0.76,17000
Grafton,"$651,000",-0.91,-6000
Great Barrier Island (Aotea Island),"$818,000",3.15,25000
Greenlane,"$1,849,000",0.82,15000
Grey Lynn,"$1,741,000",-2.3,-41000
Herne Bay,"$3,676,000",2.4,86000
Hillsborough,"$1,326,000",4.25,54000
Kingsland,"$1,378,000",1.85,25000
Kohimarama,"$2,199,000",0.55,12000
Lynfield,"$1,309,000",0.61,8000
Meadowbank,"$1,673,000",1.58,26000
Mission Bay,"$2,175,000",-1.18,-26000
Morningside,"$1,272,000",3.33,41000
Mount Albert,"$1,313,000",-1.87,-25000
Mount Eden,"$1,761,000",4.02,68000
Mount Roskill,"$1,139,000",0.71,8000
Mount Wellington,"$964,000",0.94,9000
New Windsor,"$1,195,000",-0.83,-10000
Newmarket,"$816,000",-2.16,-18000
One Tree Hill,"$1,350,000",1.66,22000
Onehunga,"$1,091,000",-0.64,-7000
Oneroa,"$2,176,000",-0.68,-15000
Onetangi,"$1,927,000",-0.46,-9000
Orakei,"$2,451,000",2.3,55000
Ostend,"$1,463,000",0.9,13000
Otahuhu,"$747,000",0.54,4000
Panmure,"$990,000",0.3,3000
Parnell,"$2,065,000",-0.63,-13000
Penrose,"$992,000",0.71,7000
Point Chevalier,"$1,909,000",0.85,16000
Point England,"$941,000",-1.88,-18000
Ponsonby,"$2,394,000",1.92,45000
Remuera,"$2,685,000",1.86,49000
Royal Oak,"$1,405,000",2.55,35000
Saint Heliers,"$2,285,000",0.04,1000
Saint Johns,"$1,493,000",1.56,23000
Saint Marys Bay,"$2,956,000",1.62,47000
Sandringham,"$1,390,000",2.43,33000
Stonefields,"$1,562,000",2.02,31000
Surfdale,"$1,384,000",3.52,47000
Three Kings,"$1,135,000",0,0
Wai o Taiki Bay,"$1,553,000",1.5,23000
Waiheke Island,"$3,322,000",1.37,45000
Waterview,"$1,038,000",2.67,27000
Wesley,"$1,088,000",-1.72,-19000
Westmere,"$2,552,000",0.2,5000
Clarks Beach,"$1,162,000",2.02,23000
Glenbrook,"$1,157,000",0,0
Hunua,"$1,411,000",1.44,20000
Paerata,"$1,361,000",0.37,5000
Patumahoe,"$1,260,000",-0.24,-3000
Pukekohe,"$904,000",0.56,5000
Ramarama,"$1,436,000",-0.21,-3000
Waiuku,"$893,000",2.64,23000
Beachlands,"$1,585,000",1.6,25000
Botany Downs,"$1,226,000",-1.29,-16000
Bucklands Beach,"$1,693,000",2.98,49000
Clendon Park,"$742,000",1.5,11000
Clevedon,"$2,003,000",-0.6,-12000
Clover Park,"$852,000",0.35,3000
Cockle Bay,"$1,601,000",-0.31,-5000
Dannemora,"$1,649,000",0.12,2000
East Tamaki,"$1,131,000",1.16,13000
East Tamaki Heights,"$1,786,000",1.88,33000
Eastern Beach,"$1,903,000",2.15,40000
Farm Cove,"$1,747,000",1.69,29000
Favona,"$846,000",0.12,1000
Flat Bush,"$1,316,000",0.38,5000
Golflands,"$1,305,000",1.87,24000
Goodwood Heights,"$1,079,000",3.06,32000
Half Moon Bay,"$1,567,000",1.1,17000
Highland Park,"$1,131,000",-0.09,-1000
Hillpark,"$942,000",5.25,47000
Howick,"$1,168,000",0.34,4000
Mangere,"$853,000",1.19,10000
Mangere Bridge,"$1,155,000",2.03,23000
Mangere East,"$857,000",-1.15,-10000
Manukau,"$607,000",-0.82,-5000
Manurewa,"$786,000",0.13,1000
Manurewa East,"$712,000",0.56,4000
Maraetai,"$1,567,000",2.28,35000
Mellons Bay,"$2,122,000",1.82,38000
Northpark,"$1,464,000",0.97,14000
Otara,"$756,000",0.4,3000
Pakuranga,"$1,115,000",2.11,23000
Pakuranga Heights,"$1,131,000",0.09,1000
Papatoetoe,"$832,000",-1.07,-9000
Randwick Park,"$769,000",-0.39,-3000
Shelly Park,"$1,608,000",3.81,59000
Somerville,"$1,455,000",0.48,7000
Sunnyhills,"$1,668,000",2.58,42000
The Gardens,"$1,250,000",-1.26,-16000
Totara Heights,"$1,036,000",2.68,27000
Totara Park,"$1,447,000",-2.56,-38000
Wattle Downs,"$1,018,000",0,0
Weymouth,"$800,000",0.13,1000
Whitford,"$3,310,000",0.76,25000
Wiri,"$662,000",-2.22,-15000
Albany,"$1,134,000",-0.18,-2000
Albany Heights,"$1,442,000",2.49,35000
Bayswater,"$1,673,000",0.97,16000
Bayview,"$1,042,000",3.07,31000
Beach Haven,"$1,074,000",2.48,26000
Belmont,"$1,524,000",-0.33,-5000
Birkdale,"$982,000",2.61,25000
Birkenhead,"$1,379,000",4.23,56000
Browns Bay,"$1,250,000",0.48,6000
Campbells Bay,"$2,365,000",0.38,9000
Castor Bay,"$1,995,000",0.66,13000
Chatswood,"$1,474,000",0.68,10000
Devonport,"$2,126,000",-0.09,-2000
Fairview Heights,"$1,641,000",0.55,9000
Forrest Hill,"$1,394,000",-0.57,-8000
Glenfield,"$1,049,000",0.67,7000
Greenhithe,"$1,821,000",1.73,31000
Hauraki,"$1,978,000",-0.15,-3000
Hillcrest,"$1,252,000",1.79,22000
Long Bay,"$1,698,000",-1.11,-19000
Mairangi Bay,"$1,808,000",3.79,66000
Milford,"$1,840,000",2.28,41000
Murrays Bay,"$1,864,000",4.25,76000
Narrow Neck,"$1,988,000",4.19,80000
Northcote,"$1,188,000",0.85,10000
Northcote Point,"$1,726,000",0.99,17000
