Suburb,Local_authority,Average_property_value,Date
Arrowtown,Queenstown-Lakes,2548000,2024-02-01
Mataura,Gore,330000,2024-02-01
Whitford,Auckland Manukau,3394000,2024-02-01
Twizel,Mackenzie,767000,2024-02-01
Lake Hayes,Queenstown-Lakes,2574000,2024-02-01
East Gore,Gore,419000,2024-02-01
Lake Tekapo,Mackenzie,1122000,2024-02-01
Kaiti,Gisborne,520000,2024-02-01
Reefton,Buller,379000,2024-02-01
Gore,Gore,492000,2024-02-01
Cobden,Grey,287000,2024-02-01
Lower Shotover,Queenstown-Lakes,1753000,2024-02-01
Bridge Hill,Central Otago,957000,2024-02-01
Wanaka,Queenstown-Lakes,2034000,2024-02-01
Rongotea,Manawatu,719000,2024-02-01
Jacks Point,Queenstown-Lakes,1835000,2024-02-01
Otautau,Southland,409000,2024-02-01
Mangawhai,Kaipara,1354000,2024-02-01
Hunua,Auckland Franklin,1429000,2024-02-01
Otara,Auckland Manukau,784000,2024-02-01
Clyde,Central Otago,962000,2024-02-01
Mount Pisa,Central Otago,1427000,2024-02-01
Outer Kaiti,Gisborne,495000,2024-02-01
Havelock,Marlborough,697000,2024-02-01
Whangamata,Thames-Coromandel,1404000,2024-02-01
Maori Hill,Dunedin,1073000,2024-02-01
Herne Bay,Auckland City,3695000,2024-02-01
Goodwood Heights,Auckland Manukau,1073000,2024-02-01
Cockle Bay,Auckland Manukau,1648000,2024-02-01
Tainui,Dunedin,613000,2024-02-01
Kaukapakapa,Auckland Rodney,1434000,2024-02-01
Fairfield,Dunedin,777000,2024-02-01
Outram,Dunedin,846000,2024-02-01
Lake Hawea,Queenstown-Lakes,1353000,2024-02-01
Halfway Bush,Dunedin,633000,2024-02-01
Stratford,Stratford,537000,2024-02-01
Great Barrier Island (Aotea Island),Auckland City,830000,2024-02-01
Somerville,Auckland Manukau,1512000,2024-02-01
Oteha,Auckland North Shore,1213000,2024-02-01
Renwick,Marlborough,769000,2024-02-01
Taumarunui,Ruapehu,361000,2024-02-01
Lumsden,Southland,407000,2024-02-01
Murupara,Whakatane,203000,2024-02-01
Cromwell,Central Otago,987000,2024-02-01
Brockville,Dunedin,534000,2024-02-01
Fairlie,Mackenzie,558000,2024-02-01
Queenstown,Queenstown-Lakes,1705000,2024-02-01
Fendalton,Christchurch,1736000,2024-02-01
Mangawhai Heads,Kaipara,1398000,2024-02-01
Paekakariki,Kapiti Coast,938000,2024-02-01
Churton Park,Wellington,1098000,2024-02-01
Dannemora,Auckland Manukau,1672000,2024-02-01
Pakuranga Heights,Auckland Manukau,1210000,2024-02-01
Lynfield,Auckland City,1366000,2024-02-01
Schnapper Rock,Auckland North Shore,1687000,2024-02-01
Saint Clair,Dunedin,880000,2024-02-01
Akaroa,Christchurch,1078000,2024-02-01
Waiwhetu,Lower Hutt,756000,2024-02-01
Winton,Southland,621000,2024-02-01
Panmure,Auckland City,1028000,2024-02-01
Half Moon Bay,Auckland Manukau,1641000,2024-02-01
Avonhead,Christchurch,820000,2024-02-01
Hastings,Hastings,612000,2024-02-01
Mellons Bay,Auckland Manukau,2188000,2024-02-01
Sunnyhills,Auckland Manukau,1700000,2024-02-01
Belleknowes,Dunedin,810000,2024-02-01
Concord,Dunedin,584000,2024-02-01
Waikouaiti,Dunedin,533000,2024-02-01
Otaki,Kapiti Coast,715000,2024-02-01
Naenae,Lower Hutt,633000,2024-02-01
Normandale,Lower Hutt,913000,2024-02-01
Stokes Valley,Lower Hutt,648000,2024-02-01
Crofton Downs,Wellington,1039000,2024-02-01
Northpark,Auckland Manukau,1478000,2024-02-01
Fairview Heights,Auckland North Shore,1639000,2024-02-01
Fairfield,Lower Hutt,779000,2024-02-01
Albert Town,Queenstown-Lakes,1626000,2024-02-01
Riverton/Aparima,Southland,682000,2024-02-01
Hillcrest,Auckland North Shore,1250000,2024-02-01
Dobson,Grey,341000,2024-02-01
Martinborough,South Wairarapa,1001000,2024-02-01
Kuratau,Taupo,903000,2024-02-01
New Lynn,Auckland Waitakere,894000,2024-02-01
