Date,Unemployment rate (%)
31-03-2025,5.1
31-12-2024,5.1
30-09-2024,4.8
30-06-2024,4.6
31-03-2024,4.4
31-12-2023,4
30-09-2023,3.9
30-06-2023,3.6
31-03-2023,3.4
31-12-2022,3.4
30-09-2022,3.3
30-06-2022,3.3
31-03-2022,3.2
31-12-2021,3.2
30-09-2021,3.3
30-06-2021,4
31-03-2021,4.6
31-12-2020,4.9
30-09-2020,5.2
30-06-2020,4.1
31-03-2020,4.2
31-12-2019,4.1
30-09-2019,4.1
30-06-2019,4
31-03-2019,4.2
31-12-2018,4.3
30-09-2018,4
30-06-2018,4.6
31-03-2018,4.4
31-12-2017,4.5
30-09-2017,4.7
30-06-2017,4.9
31-03-2017,4.9
31-12-2016,5.3
30-09-2016,5
30-06-2016,5.1
31-03-2016,5.3
31-12-2015,5
30-09-2015,5.7
30-06-2015,5.5
31-03-2015,5.5
31-12-2014,5.5
30-09-2014,5.3
30-06-2014,5.3
31-03-2014,5.6
31-12-2013,5.7
30-09-2013,5.8
30-06-2013,6
31-03-2013,5.8
31-12-2012,6.3
30-09-2012,6.7
30-06-2012,6.4
31-03-2012,6.4
31-12-2011,6.1
30-09-2011,6
30-06-2011,6.1
31-03-2011,6
31-12-2010,6.2
30-09-2010,6.1
30-06-2010,6.6
31-03-2010,5.9
31-12-2009,6.6
30-09-2009,6.2
30-06-2009,5.8
31-03-2009,5
31-12-2008,4.4
30-09-2008,4.1
30-06-2008,3.8
31-03-2008,3.8
31-12-2007,3.4
30-09-2007,3.6
30-06-2007,3.6
31-03-2007,3.9
31-12-2006,3.8
30-09-2006,3.9
30-06-2006,3.7
31-03-2006,4.1
31-12-2005,3.7
30-09-2005,3.8
30-06-2005,3.8
31-03-2005,3.9
31-12-2004,3.7
30-09-2004,3.9
30-06-2004,4.2
31-03-2004,4.3
31-12-2003,4.7
30-09-2003,4.5
30-06-2003,4.8
31-03-2003,5
31-12-2002,5.1
30-09-2002,5.5
30-06-2002,5.3
31-03-2002,5.3
31-12-2001,5.6
30-09-2001,5.4
30-06-2001,5.4
31-03-2001,5.5
31-12-2000,5.8
30-09-2000,6
30-06-2000,6.3
31-03-2000,6.5
31-12-1999,6.4
30-09-1999,7
30-06-1999,7.3
31-03-1999,7.5
31-12-1998,7.9
30-09-1998,7.7
30-06-1998,7.9
31-03-1998,7.4
31-12-1997,7
30-09-1997,7
30-06-1997,6.8
31-03-1997,6.7
31-12-1996,6.2
30-09-1996,6.5
30-06-1996,6.2
31-03-1996,6.4
31-12-1995,6.4
30-09-1995,6.2
30-06-1995,6.4
31-03-1995,6.8
31-12-1994,7.6
30-09-1994,8
30-06-1994,8.5
31-03-1994,9.3
31-12-1993,9.4
30-09-1993,9.5
30-06-1993,10.2
31-03-1993,10.1
31-12-1992,10.6
30-09-1992,10.6
30-06-1992,10.5
31-03-1992,11
31-12-1991,11
30-09-1991,11.2
30-06-1991,10.5
31-03-1991,9.8
31-12-1990,8.9
30-09-1990,8.1
30-06-1990,7.7
31-03-1990,7.2
31-12-1989,7.3
30-09-1989,7.4
30-06-1989,7.5
31-03-1989,7.1
31-12-1988,6.3
30-09-1988,6.4
30-06-1988,5.5
31-03-1988,5
31-12-1987,4.4
30-09-1987,4.2
30-06-1987,4.2
31-03-1987,4.1
31-12-1986,4.3
30-09-1986,4.2
30-06-1986,4.1
31-03-1986,4.2
