Date,House prices (annual % change)
31-03-2025,-2
31-12-2024,-1.6
30-09-2024,-1
30-06-2024,1.2
31-03-2024,2.1
31-12-2023,-0.6
30-09-2023,-4.1
30-06-2023,-8.9
31-03-2023,-11.7
31-12-2022,-10.8
30-09-2022,-3.6
30-06-2022,5.1
31-03-2022,13.6
31-12-2021,25.9
30-09-2021,28.7
30-06-2021,28.5
31-03-2021,22.7
31-12-2020,16.1
30-09-2020,10
30-06-2020,6.8
31-03-2020,7.6
31-12-2019,4.8
30-09-2019,3.1
30-06-2019,2
31-03-2019,2.6
31-12-2018,3.3
30-09-2018,3.9
30-06-2018,3.6
31-03-2018,3.6
31-12-2017,4.1
30-09-2017,3.6
30-06-2017,6.7
31-03-2017,12.1
31-12-2016,14.3
30-09-2016,14.1
30-06-2016,15.2
31-03-2016,13.2
31-12-2015,12.6
30-09-2015,15.5
30-06-2015,12.1
31-03-2015,9.4
31-12-2014,7.2
30-09-2014,4.8
30-06-2014,6.4
31-03-2014,7.6
31-12-2013,9
30-09-2013,10
30-06-2013,8.8
31-03-2013,7.7
31-12-2012,6.4
30-09-2012,4.5
30-06-2012,3.8
31-03-2012,3.1
31-12-2011,2.3
30-09-2011,2.1
30-06-2011,0.1
31-03-2011,-1.4
31-12-2010,-1.6
30-09-2010,0.3
30-06-2010,3.2
31-03-2010,6.2
31-12-2009,5.4
30-09-2009,1.1
30-06-2009,-3.1
31-03-2009,-9
31-12-2008,-8.9
30-09-2008,-6.7
30-06-2008,-4.5
31-03-2008,2.7
31-12-2007,7.6
30-09-2007,11.3
30-06-2007,13.4
31-03-2007,11.3
31-12-2006,8.9
30-09-2006,9.3
30-06-2006,10.2
31-03-2006,12.3
31-12-2005,15.2
30-09-2005,15
30-06-2005,13.7
31-03-2005,12.6
31-12-2004,12.4
30-09-2004,15.8
30-06-2004,21.1
31-03-2004,23.1
31-12-2003,24.4
30-09-2003,20.9
30-06-2003,16.8
31-03-2003,15.6
31-12-2002,14
30-09-2002,11.7
30-06-2002,9.2
31-03-2002,7.1
31-12-2001,4.4
30-09-2001,2.4
30-06-2001,0.7
31-03-2001,0
31-12-2000,-1.2
30-09-2000,-0.8
30-06-2000,-0.2
31-03-2000,0.8
31-12-1999,2.3
30-09-1999,2.7
30-06-1999,3
31-03-1999,0.5
31-12-1998,-2.3
30-09-1998,-2.6
30-06-1998,-2.5
31-03-1998,0.2
31-12-1997,4.9
30-09-1997,6.4
30-06-1997,6.2
31-03-1997,6.8
31-12-1996,8.1
30-09-1996,9.2
30-06-1996,12.3
31-03-1996,12.5
31-12-1995,9.3
30-09-1995,8.6
30-06-1995,8.7
31-03-1995,10.5
31-12-1994,14.7
30-09-1994,15.2
30-06-1994,15.2
31-03-1994,12.4
31-12-1993,6.4
30-09-1993,4.1
30-06-1993,2.8
31-03-1993,3.3
31-12-1992,1.7
30-09-1992,1.2
30-06-1992,0.5
31-03-1992,-2
31-12-1991,-2.5
30-09-1991,-2.8
30-06-1991,-3.8
31-03-1991,-1.5
31-12-1990,2.9
