Date,Servicing
31-03-2025,10.1
31-12-2024,10.2
30-09-2024,10.5
30-06-2024,10.4
31-03-2024,9.6
31-12-2023,9.2
30-09-2023,8.8
30-06-2023,8.3
31-03-2023,7.8
31-12-2022,7.1
30-09-2022,6.7
30-06-2022,6.2
31-03-2022,5.5
31-12-2021,5
30-09-2021,5.2
30-06-2021,5.6
31-03-2021,5.5
31-12-2020,5.7
30-09-2020,6.1
30-06-2020,6.8
31-03-2020,7.2
31-12-2019,7
30-09-2019,7.5
30-06-2019,8
31-03-2019,8.1
31-12-2018,7.8
30-09-2018,8.2
30-06-2018,8.5
31-03-2018,8.4
31-12-2017,8
30-09-2017,8.5
30-06-2017,8.8
31-03-2017,8.4
31-12-2016,8.4
30-09-2016,8.9
30-06-2016,9.2
31-03-2016,9.3
31-12-2015,9.3
30-09-2015,9.8
30-06-2015,10.4
31-03-2015,10.6
31-12-2014,9.8
30-09-2014,10.1
30-06-2014,9.8
31-03-2014,9.2
31-12-2013,8.5
30-09-2013,9.2
30-06-2013,10.2
31-03-2013,9.3
31-12-2012,9.4
30-09-2012,9.7
30-06-2012,9.6
31-03-2012,9.4
31-12-2011,9.6
30-09-2011,10.2
30-06-2011,10.8
31-03-2011,10.5
31-12-2010,11
30-09-2010,11.3
30-06-2010,11.4
31-03-2010,11.5
31-12-2009,11.8
30-09-2009,12.4
30-06-2009,13.1
31-03-2009,14.4
31-12-2008,15.6
30-09-2008,16
30-06-2008,15.8
31-03-2008,15.1
31-12-2007,14.8
30-09-2007,14.3
30-06-2007,14
31-03-2007,13.9
31-12-2006,13.7
30-09-2006,13.4
30-06-2006,13.3
31-03-2006,13.2
31-12-2005,12.9
30-09-2005,12.5
30-06-2005,12.1
31-03-2005,11.6
31-12-2004,11.3
30-09-2004,10.8
30-06-2004,10.4
31-03-2004,10.2
31-12-2003,9.9
30-09-2003,9.8
30-06-2003,10
31-03-2003,10.2
31-12-2002,10.2
30-09-2002,10
30-06-2002,9.6
31-03-2002,8.9
31-12-2001,9.2
30-09-2001,9.4
30-06-2001,9.6
31-03-2001,10.1
31-12-2000,10.1
30-09-2000,10
30-06-2000,9.6
31-03-2000,8.7
