Date,CPI (Annual % change)
30-06-2025,2.7
31-03-2025,2.5
31-12-2024,2.2
30-09-2024,2.2
30-06-2024,3.3
31-03-2024,4
31-12-2023,4.7
30-09-2023,5.6
30-06-2023,6
31-03-2023,6.7
31-12-2022,7.2
30-09-2022,7.2
30-06-2022,7.3
31-03-2022,6.9
31-12-2021,5.9
30-09-2021,4.9
30-06-2021,3.3
31-03-2021,1.5
31-12-2020,1.4
30-09-2020,1.4
30-06-2020,1.5
31-03-2020,2.5
31-12-2019,1.9
30-09-2019,1.5
30-06-2019,1.7
31-03-2019,1.5
31-12-2018,1.9
30-09-2018,1.9
30-06-2018,1.5
31-03-2018,1.1
31-12-2017,1.6
30-09-2017,1.9
30-06-2017,1.7
31-03-2017,2.2
31-12-2016,1.3
30-09-2016,0.4
30-06-2016,0.4
31-03-2016,0.4
31-12-2015,0.1
30-09-2015,0.4
30-06-2015,0.4
31-03-2015,0.3
31-12-2014,0.8
30-09-2014,1
30-06-2014,1.6
31-03-2014,1.5
31-12-2013,1.6
30-09-2013,1.4
30-06-2013,0.7
31-03-2013,0.9
31-12-2012,0.9
30-09-2012,0.8
30-06-2012,1
31-03-2012,1.6
31-12-2011,1.8
30-09-2011,4.6
30-06-2011,5.3
31-03-2011,4.5
31-12-2010,4
30-09-2010,1.5
30-06-2010,1.7
31-03-2010,2
31-12-2009,2
30-09-2009,1.7
30-06-2009,1.9
31-03-2009,3
31-12-2008,3.4
30-09-2008,5.1
30-06-2008,4
31-03-2008,3.4
31-12-2007,3.2
30-09-2007,1.8
30-06-2007,2
31-03-2007,2.5
31-12-2006,2.6
30-09-2006,3.5
30-06-2006,4
31-03-2006,3.3
31-12-2005,3.2
30-09-2005,3.4
30-06-2005,2.8
31-03-2005,2.8
31-12-2004,2.7
30-09-2004,2.5
30-06-2004,2.4
31-03-2004,1.5
31-12-2003,1.6
30-09-2003,1.5
30-06-2003,1.5
31-03-2003,2.5
31-12-2002,2.7
30-09-2002,2.6
30-06-2002,2.8
31-03-2002,2.6
31-12-2001,1.8
30-09-2001,2.4
30-06-2001,3.2
31-03-2001,3.1
31-12-2000,4
30-09-2000,3
30-06-2000,2
31-03-2000,1.5
31-12-1999,0.5
30-09-1999,-0.5
30-06-1999,-0.4
31-03-1999,-0.1
31-12-1998,0.4
30-09-1998,1.7
30-06-1998,1.7
31-03-1998,1.3
31-12-1997,0.8
30-09-1997,1
30-06-1997,1.1
31-03-1997,1.8
31-12-1996,2.6
30-09-1996,2.4
30-06-1996,2
31-03-1996,2.2
31-12-1995,2.9
30-09-1995,3.5
30-06-1995,4.6
31-03-1995,4
31-12-1994,2.8
30-09-1994,1.8
30-06-1994,1.1
31-03-1994,1.3
31-12-1993,1.4
30-09-1993,1.5
30-06-1993,1.3
31-03-1993,1
31-12-1992,1.3
30-09-1992,1
30-06-1992,1
31-03-1992,0.8
31-12-1991,1
30-09-1991,2.2
30-06-1991,2.8
31-03-1991,4.5
31-12-1990,4.9
30-09-1990,5
30-06-1990,7.6
31-03-1990,7
31-12-1989,7.2
30-09-1989,7.2
30-06-1989,4.4
31-03-1989,4
31-12-1988,4.7
30-09-1988,5.6
30-06-1988,6.3
31-03-1988,9
31-12-1987,9.6
30-09-1987,16.9
30-06-1987,18.9
31-03-1987,18.3
31-12-1986,18.2
30-09-1986,11
30-06-1986,10.4
31-03-1986,13
31-12-1985,15.3
30-09-1985,16.3
30-06-1985,16.6
31-03-1985,13.4
31-12-1984,9.4
30-09-1984,7
30-06-1984,4.7
31-03-1984,3.5
31-12-1983,3.6
30-09-1983,5.4
30-06-1983,8.3
31-03-1983,12.6
31-12-1982,15.3
30-09-1982,16.6
30-06-1982,17
31-03-1982,15.8
31-12-1981,15.7
30-09-1981,15.4
30-06-1981,15.1
31-03-1981,15.2
31-12-1980,16.1
30-09-1980,16.3
30-06-1980,17.9
31-03-1980,18.4
31-12-1979,16.5
30-09-1979,15.2
30-06-1979,12.4
31-03-1979,10.4
31-12-1978,10.1
30-09-1978,11.1
30-06-1978,12.3
31-03-1978,14.6
31-12-1977,15.3
30-09-1977,14.4
30-06-1977,14
31-03-1977,13.7
31-12-1976,15.6
30-09-1976,17.2
30-06-1976,17.7
31-03-1976,17.2
31-12-1975,15.7
30-09-1975,14.8
30-06-1975,14.9
31-03-1975,13.2
31-12-1974,12.6
30-09-1974,11.5
30-06-1974,10
31-03-1974,10.3
31-12-1973,10.2
30-09-1973,8.9
30-06-1973,7.6
31-03-1973,6
31-12-1972,5.5
30-09-1972,6.5
30-06-1972,7.4
31-03-1972,8.5
31-12-1971,9.1
30-09-1971,11.1
30-06-1971,11
31-03-1971,10.3
31-12-1970,10
30-09-1970,6.1
30-06-1970,5.2
31-03-1970,4.8
31-12-1969,4
30-09-1969,5.1
30-06-1969,5.2
31-03-1969,5.5
31-12-1968,5.1
30-09-1968,3.6
30-06-1968,3.6
31-03-1968,5
31-12-1967,6.6
30-09-1967,7
30-06-1967,6.4
31-03-1967,4.2
31-12-1966,2.4
30-09-1966,2.6
30-06-1966,3.3
31-03-1966,2.8
31-12-1965,2.4
30-09-1965,3.4
30-06-1965,3.6
31-03-1965,4.3
31-12-1964,4.5
30-09-1964,3.8
30-06-1964,3
31-03-1964,2.5
31-12-1963,2.2
30-09-1963,1.9
30-06-1963,1.9
31-03-1963,1.8
31-12-1962,2.1
30-09-1962,2.5
30-06-1962,3.3
31-03-1962,2.9
31-12-1961,2.1
30-09-1961,2.1
30-06-1961,1.4
31-03-1961,1.6
31-12-1960,1.6
30-09-1960,0.3
30-06-1960,0.4
31-03-1960,0.5
31-12-1959,1.1
30-09-1959,2.1
30-06-1959,5.7
31-03-1959,6.5
31-12-1958,6.5
30-09-1958,6.3
30-06-1958,2.3
31-03-1958,2.7
31-12-1957,1.8
30-09-1957,1.3
30-06-1957,2.8
31-03-1957,2.8
31-12-1956,4.6
30-09-1956,4.6
30-06-1956,2.6
31-03-1956,2.2
31-12-1955,2.5
30-09-1955,2.3
30-06-1955,2.3
31-03-1955,3
31-12-1954,2.4
30-09-1954,4.9
30-06-1954,5.9
31-03-1954,5.4
31-12-1953,5.6
30-09-1953,4.1
30-06-1953,4.1
31-03-1953,4.3
31-12-1952,4.6
30-09-1952,6.4
30-06-1952,8.6
31-03-1952,11.8
31-12-1951,11.9
30-09-1951,11
30-06-1951,11.1
31-03-1951,9.9
31-12-1950,8.5
30-09-1950,7.2
30-06-1950,5
31-03-1950,2
31-12-1949,1.8
30-09-1949,1.6
30-06-1949,1.1
31-03-1949,2.1
31-12-1948,1.6
30-09-1948,9.5
30-06-1948,10.6
31-03-1948,10.1
31-12-1947,10.1
30-09-1947,1.8
30-06-1947,0.9
31-03-1947,0.3
31-12-1946,-0.2
30-09-1946,1.3
30-06-1946,1
31-03-1946,0.9
31-12-1945,1.3
30-09-1945,1.1
30-06-1945,1.3
31-03-1945,1.7
31-12-1944,1.5
30-09-1944,1.7
30-06-1944,2
31-03-1944,1.8
31-12-1943,1.4
30-09-1943,1.8
30-06-1943,2.6
31-03-1943,4
31-12-1942,3.9
30-09-1942,4.2
30-06-1942,2.6
31-03-1942,2.3
31-12-1941,3.8
30-09-1941,3
30-06-1941,3.9
31-03-1941,4.2
31-12-1940,2.7
30-09-1940,4.7
30-06-1940,4.7
31-03-1940,4.5
31-12-1939,7.7
30-09-1939,4.5
30-06-1939,3.4
31-03-1939,2.8
31-12-1938,0.6
30-09-1938,2.7
30-06-1938,3.5
31-03-1938,5
31-12-1937,7.2
30-09-1937,6.6
30-06-1937,7.4
31-03-1937,6.9
31-12-1936,3.3
30-09-1936,3.8
30-06-1936,2.5
31-03-1936,1.7
31-12-1935,5.6
30-09-1935,3.8
30-06-1935,2.8
31-03-1935,2.7
31-12-1934,1.3
30-09-1934,1.4
30-06-1934,2
31-03-1934,0.9
31-12-1933,-0.7
30-09-1933,-3
30-06-1933,-5.1
31-03-1933,-8.9
31-12-1932,-9.2
30-09-1932,-7.9
30-06-1932,-8.1
31-03-1932,-6.1
31-12-1931,-7.8
30-09-1931,-9.1
30-06-1931,-7.8
31-03-1931,-6.4
31-12-1930,-4
30-09-1930,-2.3
30-06-1930,-1
31-03-1930,-0.6
31-12-1929,-0.5
30-09-1929,0
30-06-1929,-0.7
31-03-1929,0.1
31-12-1928,0.6
30-09-1928,0.2
30-06-1928,0.2
31-03-1928,-0.7
31-12-1927,-0.9
30-09-1927,-1.4
30-06-1927,-0.9
31-03-1927,-0.1
31-12-1926,-0.6
30-09-1926,0.1
31-03-1926,1.8
30-09-1925,1.8
31-03-1925,-1.5
30-09-1924,1.1
31-03-1924,3.2
30-09-1923,-0.4
31-03-1923,-4.8
30-09-1922,-10.8
31-03-1922,-11.1
30-09-1921,-1.8
31-03-1921,8.7
30-09-1920,15.4
31-03-1920,11.9
30-09-1919,9.2
30-09-1918,12.3
30-09-1917,9.8
30-09-1916,7.9
