date,house_price_annual_pct_change,house_value_index,debt_servicing_pct,floating_rate,two_year_fixed_rate,cpi_annual_pct_change,unemployment_rate
31/03/2015,9.4,791166,10.6,6.569999999999999,6.036666666666667,0.3,5.5
30/06/2015,12.1,821359,10.4,6.506666666666667,5.773333333333333,0.4,5.5
30/09/2015,15.5,862341,9.8,6.08,5.4366666666666665,0.4,5.7
31/12/2015,12.6,873190,9.3,5.943333333333333,5.243333333333333,0.1,5
31/03/2016,13.2,905368,9.3,5.763333333333334,5.17,0.4,5.3
30/06/2016,15.2,959850,9.2,5.693333333333333,5.06,0.4,5.1
30/09/2016,14.1,1001785,8.9,5.66,5.056666666666667,0.4,5
31/12/2016,14.3,1013840,8.4,5.68,5.096666666666667,1.3,5.3
31/03/2017,12.1,1030945,8.4,5.653333333333333,5.056666666666667,2.2,4.9
30/06/2017,6.7,1042827,8.8,5.726666666666667,5.083333333333333,1.7,4.9
30/09/2017,3.6,1051599,8.5,5.75,5.1066666666666665,1.9,4.7
31/12/2017,4.1,1067373,8,5.75,5.08,1.6,4.5
31/03/2018,3.6,1079470,8.4,5.75,5.073333333333333,1.1,4.4
30/06/2018,3.6,1090523,8.5,5.766666666666667,5.029999999999999,1.5,4.6
30/09/2018,3.9,1105095,8.2,5.77,4.9799999999999995,1.9,4
31/12/2018,3.3,1118115,7.8,5.77,4.92,1.9,4.3
31/03/2019,2.6,1126956,8.1,5.773333333333333,4.886666666666667,1.5,4.2
30/06/2019,2,1131286,8,5.75,4.733333333333333,1.7,4
30/09/2019,3.1,1157412,7.5,5.556666666666667,4.58,1.5,4.1
31/12/2019,4.8,1188262,7,5.45,4.423333333333334,1.9,4.1
31/03/2020,7.6,1227951,7.2,5.236666666666666,4.37,2.5,4.2
30/06/2020,6.8,1227900,6.8,4.716666666666667,3.95,1.5,4.1
30/09/2020,10,1280867,6.1,4.6,3.67,1.4,5.2
31/12/2020,16.1,1385674,5.7,4.52,3.523333333333333,1.4,4.9
31/03/2021,22.7,1512986,5.5,4.51,3.476666666666667,1.5,4.6
30/06/2021,28.5,1591524,5.6,4.483333333333333,3.466666666666667,3.3,4
30/09/2021,28.7,1663058,5.2,4.52,3.743333333333333,4.9,3.3
31/12/2021,25.9,1763125,5,4.796666666666667,4.533333333333333,5.9,3.2
31/03/2022,13.6,1723371,5.5,4.976666666666667,4.833333333333333,6.9,3.2
30/06/2022,5.1,1680923,6.2,5.596666666666667,5.72,7.3,3.3
30/09/2022,-3.6,1630391,6.7,6.47,5.97,7.2,3.3
31/12/2022,-10.8,1608367,7.1,7.376666666666667,6.766666666666667,7.2,3.4
31/03/2023,-11.7,1573547,7.8,7.873333333333333,7.036666666666667,6.7,3.4
30/06/2023,-8.9,1563341,8.3,8.363333333333333,7.1066666666666665,6,3.6
30/09/2023,-4.1,1590955,8.8,8.56,7.413333333333333,5.6,3.9
31/12/2023,-0.6,1621444,9.2,8.61,7.576666666666666,4.7,4
31/03/2024,2.1,1630738,9.6,8.61,7.443333333333333,4,4.4
30/06/2024,1.2,1619652,10.4,8.61,7.363333333333333,3.3,4.6
30/09/2024,-1,1618019,10.5,8.503333333333332,6.763333333333334,2.2,4.8
31/12/2024,-1.6,1636999,10.2,7.91,6.226666666666667,2.2,5.1
31/03/2025,-2,1642553,10.1,7.4,5.826666666666667,2.5,5.1
30/06/2025,NA,NA,NA,6.903333333333333,5.626666666666667,2.7,NA
