date,house_values
2015-03-31,791166
2015-06-30,821359
2015-09-30,862341
2015-12-31,873190
2016-03-31,905368
2016-06-30,959850
2016-09-30,1001785
2016-12-31,1013840
2017-03-31,1030945
2017-06-30,1042827
2017-09-30,1051599
2017-12-31,1067373
2018-03-31,1079470
2018-06-30,1090523
2018-09-30,1105095
2018-12-31,1118115
2019-03-31,1126956
2019-06-30,1131286
2019-09-30,1157412
2019-12-31,1188262
2020-03-31,1227951
2020-06-30,1227900
2020-09-30,1280867
2020-12-31,1385674
2021-03-31,1512986
2021-06-30,1591524
2021-09-30,1663058
2021-12-31,1763125
2022-03-31,1723371
2022-06-30,1680923
2022-09-30,1630391
2022-12-31,1608367
2023-03-31,1573547
2023-06-30,1563341
2023-09-30,1590955
2023-12-31,1621444
2024-03-31,1630738
2024-06-30,1619652
2024-09-30,1618019
2024-12-31,1636999
2025-03-31,1642553
