date,floating_rate,two_year_fixed_rate
2015-01-31,6.59,6.14
2015-02-28,6.56,5.99
2015-03-31,6.56,5.98
2015-04-30,6.56,5.92
2015-05-31,6.56,5.79
2015-06-30,6.4,5.61
2015-07-31,6.16,5.56
2015-08-31,6.12,5.43
2015-09-30,5.96,5.32
2015-10-31,5.99,5.25
2015-11-30,5.99,5.25
2015-12-31,5.85,5.23
2016-01-31,5.8,5.21
2016-02-29,5.79,5.18
2016-03-31,5.7,5.12
2016-04-30,5.69,5.09
2016-05-31,5.69,5.04
2016-06-30,5.7,5.05
2016-07-31,5.7,5.05
2016-08-31,5.64,5.06
2016-09-30,5.64,5.06
2016-10-31,5.64,5.06
2016-11-30,5.7,5.09
2016-12-31,5.7,5.14
2017-01-31,5.63,5.04
2017-02-28,5.64,5.05
2017-03-31,5.69,5.08
2017-04-30,5.71,5.07
2017-05-31,5.73,5.09
2017-06-30,5.74,5.09
2017-07-31,5.75,5.14
2017-08-31,5.75,5.1
2017-09-30,5.75,5.08
2017-10-31,5.75,5.08
2017-11-30,5.75,5.08
2017-12-31,5.75,5.08
2018-01-31,5.75,5.08
2018-02-28,5.75,5.08
2018-03-31,5.75,5.06
2018-04-30,5.76,5.05
2018-05-31,5.77,5.02
2018-06-30,5.77,5.02
2018-07-31,5.77,5.01
2018-08-31,5.77,5
2018-09-30,5.77,4.93
2018-10-31,5.77,4.92
2018-11-30,5.77,4.91
2018-12-31,5.77,4.93
2019-01-31,5.77,4.93
2019-02-28,5.77,4.92
2019-03-31,5.78,4.81
2019-04-30,5.78,4.78
2019-05-31,5.74,4.73
2019-06-30,5.73,4.69
2019-07-31,5.73,4.67
2019-08-31,5.49,4.59
2019-09-30,5.45,4.48
2019-10-31,5.45,4.41
2019-11-30,5.45,4.42
2019-12-31,5.45,4.44
2020-01-31,5.45,4.44
2020-02-29,5.45,4.45
2020-03-31,4.81,4.22
2020-04-30,4.78,4.19
2020-05-31,4.75,3.92
2020-06-30,4.62,3.74
2020-07-31,4.6,3.7
2020-08-31,4.6,3.68
2020-09-30,4.6,3.63
2020-10-31,4.54,3.55
2020-11-30,4.51,3.51
2020-12-31,4.51,3.51
2021-01-31,4.51,3.49
2021-02-28,4.51,3.47
2021-03-31,4.51,3.47
2021-04-30,4.51,3.46
2021-05-31,4.47,3.47
2021-06-30,4.47,3.47
2021-07-31,4.52,3.67
2021-08-31,4.52,3.69
2021-09-30,4.52,3.87
2021-10-31,4.65,4.22
2021-11-30,4.83,4.65
2021-12-31,4.91,4.73
2022-01-31,4.91,4.71
2022-02-28,4.94,4.75
2022-03-31,5.08,5.04
2022-04-30,5.39,5.55
2022-05-31,5.51,5.62
2022-06-30,5.89,5.99
2022-07-31,6.22,5.94
2022-08-31,6.54,5.91
2022-09-30,6.65,6.06
2022-10-31,6.99,6.47
2022-11-30,7.33,6.75
2022-12-31,7.81,7.08
2023-01-31,7.8,7.08
2023-02-28,7.84,7
2023-03-31,7.98,7.03
2023-04-30,8.27,7.07
2023-05-31,8.37,7.1
2023-06-30,8.45,7.15
2023-07-31,8.51,7.32
2023-08-31,8.58,7.42
2023-09-30,8.59,7.5
2023-10-31,8.61,7.6
2023-11-30,8.61,7.59
2023-12-31,8.61,7.54
2024-01-31,8.61,7.48
2024-02-29,8.61,7.45
2024-03-31,8.61,7.4
2024-04-30,8.61,7.38
2024-05-31,8.61,7.36
2024-06-30,8.61,7.35
2024-07-31,8.61,7.15
2024-08-31,8.45,6.66
2024-09-30,8.45,6.48
2024-10-31,8.11,6.29
2024-11-30,7.96,6.27
2024-12-31,7.66,6.12
2025-01-31,7.63,6.03
2025-02-28,7.33,5.72
2025-03-31,7.24,5.73
2025-04-30,7,5.66
2025-05-31,6.92,5.63
2025-06-30,6.79,5.59
