q_end,b2_ocr,b2c_swap_2y,b2c_swap_5y,b2c_nzgb_2y,b2c_nzgb_5y,b2c_swap_slope_5y2y,b2c_gov_slope_5y2y,b3_housing_lending,b30_new_standard_residential_mortgage_interest_rates_simple_average_percent_during_month_2,b30_new_standard_residential_mortgage_interest_rates_simple_average_percent_during_month_3,b30_new_standard_residential_mortgage_interest_rates_simple_average_percent_during_month_4,b30_new_standard_residential_mortgage_interest_rates_simple_average_percent_during_month_5,b30_new_standard_residential_mortgage_interest_rates_simple_average_percent_during_month_6,h1_expected_inflation_1y,h1_expected_inflation_2y,h1_expected_inflation_5y,h1_expected_house_price_1y,h1_expected_house_price_5y,h2_mortgage_payment_risk,h2_rent_payment_risk,h2_expected_earnings_change,h2_job_loss_risk,h2_job_find_prob,house_price_annual_pct_change,house_value_index,debt_servicing_pct,floating_rate,two_year_fixed_rate,cpi_annual_pct_change,unemployment_rate
2015-03-31,NA,NA,NA,NA,NA,NA,NA,6.71,NA,NA,NA,NA,NA,10.4,NA,3.2,28.03333333333333,NA,NA,NA,NA,NA,NA,9.4,791166,10.6,6.569999999999999,6.036666666666667,0.3,5.5
2015-06-30,NA,NA,NA,NA,NA,NA,NA,6.623333333333333,NA,NA,NA,NA,NA,12.766666666666666,NA,3.3,28.53333333333333,NA,NA,NA,NA,NA,NA,12.1,821359,10.4,6.506666666666667,5.773333333333333,0.4,5.5
2015-09-30,NA,NA,NA,NA,NA,NA,NA,6.1433333333333335,NA,NA,NA,NA,NA,10.6,NA,3.3,26.7,NA,NA,NA,NA,NA,NA,15.5,862341,9.8,6.08,5.4366666666666665,0.4,5.7
2015-12-31,NA,NA,NA,NA,NA,NA,NA,5.916666666666667,NA,NA,NA,NA,NA,11.133333333333333,NA,3.3,24.8,NA,NA,NA,NA,NA,NA,12.6,873190,9.3,5.943333333333333,5.243333333333333,0.1,5
2016-03-31,NA,NA,NA,NA,NA,NA,NA,5.726666666666667,NA,NA,NA,NA,NA,9.1,NA,3.4,25.033333333333335,NA,NA,NA,NA,NA,NA,13.2,905368,9.3,5.763333333333334,5.17,0.4,5.3
2016-06-30,NA,NA,NA,NA,NA,NA,NA,5.6499999999999995,NA,NA,NA,NA,NA,11.633333333333336,NA,3.2,28.933333333333337,NA,NA,NA,NA,NA,NA,15.2,959850,9.2,5.693333333333333,5.06,0.4,5.1
2016-09-30,NA,NA,NA,NA,NA,NA,NA,5.616666666666666,NA,NA,NA,NA,NA,12.766666666666667,NA,3.5,24.066666666666663,NA,NA,NA,NA,NA,NA,14.1,1001785,8.9,5.66,5.056666666666667,0.4,5
2016-12-31,NA,NA,NA,NA,NA,NA,NA,5.6033333333333335,NA,NA,NA,NA,NA,13.133333333333336,NA,3.3,24.9,NA,NA,NA,NA,NA,NA,14.3,1013840,8.4,5.68,5.096666666666667,1.3,5.3
2017-03-31,NA,NA,NA,NA,NA,NA,NA,5.733333333333333,NA,NA,NA,NA,NA,20.6,NA,3.25,20.9,NA,NA,NA,NA,NA,NA,12.1,1030945,8.4,5.653333333333333,5.056666666666667,2.2,4.9
2017-06-30,NA,NA,NA,NA,NA,NA,NA,5.816666666666666,NA,NA,NA,NA,NA,20.76666666666667,NA,3.35,21.266666666666666,NA,NA,NA,NA,NA,NA,6.7,1042827,8.8,5.726666666666667,5.083333333333333,1.7,4.9
