date,mortgage_Auckland,mortgage_Canterbury,mortgage_New_Zealand,mortgage_Wellington,deposit_Auckland,deposit_Canterbury,deposit_New_Zealand,deposit_Wellington,rent_Auckland,rent_Canterbury,rent_New_Zealand,rent_Wellington
2018-03-31,0.7931,1.1228,0.878,0.9757,0.6611,0.9359,0.7318,0.8133,0.9997,1.0616,0.9975,0.9832
2018-06-30,0.8148,1.1343,0.8919,0.9775,0.6736,0.9378,0.73740000000000006,0.8082,1.0092,1.0849,1.0018,1.0157
2018-09-30,0.8457,1.183,0.9199,1.0007,0.6792,0.95,0.7388,0.8036,1.0216,1.1009,1.0141,1.0259
2018-12-31,0.8926,1.2384,0.9622,0.9989,0.6891,0.9561,0.7429,0.7712,1.0242,1.0879,1.0092,0.9957
2019-03-31,0.9223,1.2565,0.9819,0.9946,0.6987,0.9518,0.7438,0.7534,1.0093,1.0649,0.9909,0.9417
2019-06-30,1.0081,1.3497,1.0617,1.0799,0.7158,0.9584,0.7539,0.7668,1.0223,1.0995,1.0032,0.9852
2019-09-30,1.0762,1.4509,1.1256,1.1311,0.7125,0.9605,0.7452,0.7488,1.0324,1.0986,1.0107,0.9938
2019-12-31,1.1202,1.5146,1.1719,1.1747,0.7035,0.9511,0.736,0.7377,1.0318,1.1041,1.0058,0.974
2020-03-31,1.1018,1.5174,1.1557,1.1607,0.6893,0.9492,0.7229,0.7261,1.031,1.0729,0.9967,0.9488
2020-06-30,1.2942,1.7542,1.3518,1.343,0.6955,0.9428,0.7265,0.7218,1.0353,1.1125,1.0176,0.9839
2020-09-30,1.3597,1.8778,1.4308,1.4181,0.6671,0.9213,0.702,0.6957,1.0491,1.1035,1.0268,1.0001
2020-12-31,1.2807,1.7951,1.3431,1.3084,0.619,0.8676,0.6492,0.6324,1.0354,1.0869,1.0008,0.9525
2021-03-31,1.2211,1.7072,1.2726,1.2244,0.5783,0.8085,0.6027,0.5798,1.0361,1.0534,0.9923,0.9404
2021-06-30,1.24,1.685,1.2773,1.2173,0.5797,0.7878,0.5971,0.5691,1.0645,1.0948,1.0221,0.9704
2021-09-30,1.0318,1.3424,1.065,1.0283,0.5533,0.7198,0.5711,0.5514,1.0683,1.0885,1.016,0.9735
2021-12-31,0.7165,0.9131,0.7439,0.7126,0.5284,0.6733,0.5486,0.5255,1.0641,1.0547,1.0101,0.9582
2022-03-31,0.6889,0.8553,0.7144,0.7186,0.5474,0.6796,0.5677,0.571,1.076,1.0412,1.0081,0.9548
2022-06-30,0.6097,0.7336,0.6292,0.6302,0.5842,0.7029,0.6028,0.6038,1.0957,1.0457,1.0326,0.9984
2022-09-30,0.6252,0.7438,0.6432,0.6627,0.6203,0.738,0.6382,0.6575,1.131,1.0606,1.0599,1.0461
2022-12-31,0.5632,0.6589,0.5739,0.5984,0.6488,0.7591,0.6612,0.6894,1.1344,1.031,1.053,1.0243
2023-03-31,0.5767,0.6409,0.5824,0.6107,0.6834,0.7594,0.6901,0.7236,1.1225,1.0354,1.0391,1.0254
2023-06-30,0.5894,0.6503,0.595,0.6174,0.7012,0.7737,0.7079,0.7345,1.1083,1.0429,1.0461,1.0652
2023-09-30,0.5611,0.6189,0.5692,0.603,0.6966,0.7684,0.7066,0.7486,1.1193,1.047,1.0546,1.0798
2023-12-31,0.5458,0.6033,0.5528,0.5877,0.6961,0.7695,0.7051,0.7495,1.1186,1.0139,1.0465,1.0731
2024-03-31,0.5713,0.6184,0.5719,0.6043,0.712,0.7707,0.7128,0.7532,1.1153,1.0081,1.0419,1.0748
2024-06-30,0.601,0.6373,0.5982,0.6279,0.7388,0.7834,0.7353,0.7719,1.128,1.0443,1.0622,1.1097
2024-09-30,0.6754,0.714,0.6706,0.7055,0.751,0.7939,0.7457,0.7844,1.1564,1.0611,1.0826,1.1207
2024-12-31,0.7346,0.7757,0.731,0.7758,0.7543,0.7965,0.7506,0.7966,1.1709,1.0271,1.0862,1.1399
2025-03-31,0.7929,0.8355,0.802,0.8974,0.7535,0.7939,0.7621,0.8527,1.1537,1.0235,1.069,1.1337
