date,official_cash_rate,rent_auckland,rent_canterbury,rent_wellington,consents_auckland,consents_canterbury,consents_wellington,population_auckland,population_canterbury,population_wellington,rent_yoy_auckland,rent_yoy_canterbury,rent_yoy_wellington,rent_index_auckland,rent_index_canterbury,rent_index_wellington,consents_per_1000_auckland,consents_per_1000_canterbury,consents_per_1000_wellington,qtr,mortgage_Auckland,mortgage_Canterbury,mortgage_New_Zealand,mortgage_Wellington,deposit_Auckland,deposit_Canterbury,deposit_New_Zealand,deposit_Wellington,rent_Auckland,rent_Canterbury,rent_New_Zealand,rent_Wellington
2018-03-01,1.75,525,382,468,11192,2487,946,1654800,383800,211200,NA,NA,NA,100,100,100,6.76,6.48,4.48,2018 Q1,0.7931,1.1228,0.878,0.9757,0.6611,0.9359,0.7318,0.8133,0.9997,1.0616,0.9975,0.9832
2018-06-01,1.75,524,373,440,13874,2379,1084,1654800,383800,211200,NA,NA,NA,99.8,97.6,94,8.38,6.2,5.13,2018 Q2,0.8148,1.1343,0.8919,0.9775,0.6736,0.9378,0.73740000000000006,0.8082,1.0092,1.0849,1.0018,1.0157
2018-09-01,1.75,525,370,443,13874,2379,1084,1654800,383800,211200,NA,NA,NA,100,96.9,94.7,8.38,6.2,5.13,2018 Q3,0.8457,1.183,0.9199,1.0007,0.6792,0.95,0.7388,0.8036,1.0216,1.1009,1.0141,1.0259
2018-12-01,1.75,537,382,463,13874,2379,1084,1654800,383800,211200,NA,NA,NA,102.3,100,98.9,8.38,6.2,5.13,2018 Q4,0.8926,1.2384,0.9622,0.9989,0.6891,0.9561,0.7429,0.7712,1.0242,1.0879,1.0092,0.9957
2019-03-01,1.75,545,396,512,13874,2379,1084,1680500,388600,212100,3.8,3.7,9.4,103.8,103.7,109.4,8.26,6.12,5.11,2019 Q1,0.9223,1.2565,0.9819,0.9946,0.6987,0.9518,0.7438,0.7534,1.0093,1.0649,0.9909,0.9417
2019-06-01,1.58,547,380,476,14932,2773,1475,1680500,388600,212100,4.4,1.9,8.2,104.2,99.5,101.7,8.89,7.14,6.95,2019 Q2,1.0081,1.3497,1.0617,1.0799,0.7158,0.9584,0.7539,0.7668,1.0223,1.0995,1.0032,0.9852
2019-09-01,1.17,544,382,488,14932,2773,1475,1680500,388600,212100,3.6,3.2,10.2,103.6,100,104.3,8.89,7.14,6.95,2019 Q3,1.0762,1.4509,1.1256,1.1311,0.7125,0.9605,0.7452,0.7488,1.0324,1.0986,1.0107,0.9938
2019-12-01,1,550,392,508,14932,2773,1475,1680500,388600,212100,2.4,2.6,9.7,104.8,102.6,108.5,8.89,7.14,6.95,2019 Q4,1.1202,1.5146,1.1719,1.1747,0.7035,0.9511,0.736,0.7377,1.0318,1.1041,1.0058,0.974
2020-03-01,0.75,560,408,542,14932,2773,1475,1712000,395200,214200,2.8,3,5.9,106.7,106.8,115.8,8.72,7.02,6.89,2020 Q1,1.1018,1.5174,1.1557,1.1607,0.6893,0.9492,0.7229,0.7261,1.031,1.0729,0.9967,0.9488
2020-06-01,0.25,560,395,510,17495,3031,1121,1712000,395200,214200,2.4,3.9,7.1,106.7,103.4,109,10.22,7.67,5.23,2020 Q2,1.2942,1.7542,1.3518,1.343,0.6955,0.9428,0.7265,0.7218,1.0353,1.1125,1.0176,0.9839
2020-09-01,0.25,553,398,502,17495,3031,1121,1712000,395200,214200,1.7,4.2,2.9,105.3,104.2,107.3,10.22,7.67,5.23,2020 Q3,1.3597,1.8778,1.4308,1.4181,0.6671,0.9213,0.702,0.6957,1.0491,1.1035,1.0268,1.0001
2020-12-01,0.25,567,403,543,17495,3031,1121,1712000,395200,214200,3.1,2.8,6.9,108,105.5,116,10.22,7.67,5.23,2020 Q4,1.2807,1.7951,1.3431,1.3084,0.619,0.8676,0.6492,0.6324,1.0354,1.0869,1.0008,0.9525
2021-03-01,0.25,580,433,573,17495,3031,1121,1704000,396500,212300,3.6,6.1,5.7,110.5,113.4,122.4,10.27,7.64,5.28,2021 Q1,1.2211,1.7072,1.2726,1.2244,0.5783,0.8085,0.6027,0.5798,1.0361,1.0534,0.9923,0.9404
2021-06-01,0.25,580,420,547,21477,4714,929,1704000,396500,212300,3.6,6.3,7.3,110.5,109.9,116.9,12.6,11.89,4.38,2021 Q2,1.24,1.685,1.2773,1.2173,0.5797,0.7878,0.5971,0.5691,1.0645,1.0948,1.0221,0.9704
2021-09-01,0.25,590,429,550,21477,4714,929,1704000,396500,212300,6.7,7.8,9.6,112.4,112.3,117.5,12.6,11.89,4.38,2021 Q3,1.0318,1.3424,1.065,1.0283,0.5533,0.7198,0.5711,0.5514,1.0683,1.0885,1.016,0.9735
2021-12-01,0.67,598,450,588,21477,4714,929,1704000,396500,212300,5.5,11.7,8.3,113.9,117.8,125.6,12.6,11.89,4.38,2021 Q4,0.7165,0.9131,0.7439,0.7126,0.5284,0.6733,0.5486,0.5255,1.0641,1.0547,1.0101,0.9582
2022-03-01,0.92,600,469,607,21477,4714,929,1694400,397400,208200,3.4,8.3,5.9,114.3,122.8,129.7,12.68,11.86,4.46,2022 Q1,0.6889,0.8553,0.7144,0.7186,0.5474,0.6796,0.5677,0.571,1.076,1.0412,1.0081,0.9548
2022-06-01,1.83,598,458,580,20312,4688,1168,1694400,397400,208200,3.1,9,6,113.9,119.9,123.9,11.99,11.8,5.61,2022 Q2,0.6097,0.7336,0.6292,0.6302,0.5842,0.7029,0.6028,0.6038,1.0957,1.0457,1.0326,0.9984
2022-09-01,2.83,592,465,577,20312,4688,1168,1694400,397400,208200,0.3,8.4,4.9,112.8,121.7,123.3,11.99,11.8,5.61,2022 Q3,0.6252,0.7438,0.6432,0.6627,0.6203,0.738,0.6382,0.6575,1.131,1.0606,1.0599,1.0461
2022-12-01,4,597,492,585,20312,4688,1168,1694400,397400,208200,-0.2,9.3,-0.5,113.7,128.8,125,11.99,11.8,5.61,2022 Q4,0.5632,0.6589,0.5739,0.5984,0.6488,0.7591,0.6612,0.6894,1.1344,1.031,1.053,1.0243
2023-03-01,4.58,610,500,618,20312,4688,1168,1755200,407700,209800,1.7,6.6,1.8,116.2,130.9,132.1,11.57,11.5,5.57,2023 Q1,0.5767,0.6409,0.5824,0.6107,0.6834,0.7594,0.6901,0.7236,1.1225,1.0354,1.0391,1.0254
2023-06-01,5.42,637,500,593,14699,3963,448,1755200,407700,209800,6.5,9.2,2.2,121.3,130.9,126.7,8.37,9.72,2.14,2023 Q2,0.5894,0.6503,0.595,0.6174,0.7012,0.7737,0.7079,0.7345,1.1083,1.0429,1.0461,1.0652
2023-09-01,5.5,647,517,597,14699,3963,448,1755200,407700,209800,9.3,11.2,3.5,123.2,135.3,127.6,8.37,9.72,2.14,2023 Q3,0.5611,0.6189,0.5692,0.603,0.6966,0.7684,0.7066,0.7486,1.1193,1.047,1.0546,1.0798
2023-12-01,5.5,650,537,620,14699,3963,448,1755200,407700,209800,8.9,9.1,6,123.8,140.6,132.5,8.37,9.72,2.14,2023 Q4,0.5458,0.6033,0.5528,0.5877,0.6961,0.7695,0.7051,0.7495,1.1186,1.0139,1.0465,1.0731
2024-03-01,5.5,653,553,630,14699,3963,448,1797300,412000,209900,7,10.6,1.9,124.4,144.8,134.6,8.18,9.62,2.13,2024 Q1,0.5713,0.6184,0.5719,0.6043,0.712,0.7707,0.7128,0.7532,1.1153,1.0081,1.0419,1.0748
2024-06-01,5.5,663,543,607,14049,3897,442,1797300,412000,209900,4.1,8.6,2.4,126.3,142.1,129.7,7.82,9.46,2.11,2024 Q2,0.601,0.6373,0.5982,0.6279,0.7388,0.7834,0.7353,0.7719,1.128,1.0443,1.0622,1.1097
2024-09-01,5.33,650,535,605,14049,3897,442,1797300,412000,209900,0.5,3.5,1.3,123.8,140.1,129.3,7.82,9.46,2.11,2024 Q3,0.6754,0.714,0.6706,0.7055,0.751,0.7939,0.7457,0.7844,1.1564,1.0611,1.0826,1.1207
2024-12-01,4.42,650,553,620,14049,3897,442,1797300,412000,209900,0,3,0,123.8,144.8,132.5,7.82,9.46,2.11,2024 Q4,0.7346,0.7757,0.731,0.7758,0.7543,0.7965,0.7506,0.7966,1.1709,1.0271,1.0862,1.1399
