date,Auckland,Christchurch,Wellington
2015-01-01,450,410,395
2015-02-01,450,413,410
2015-03-01,450,395,375
2015-04-01,460,390,370
2015-05-01,465,395,370
2015-06-01,470,390,370
2015-07-01,470,380,365
2015-08-01,480,380,350
2015-09-01,480,380,350
2015-10-01,480,380,360
2015-11-01,480,390,380
2015-12-01,480,385,375
2016-01-01,485,399,400
2016-02-01,480,390,410
2016-03-01,480,383,390
2016-04-01,490,380,380
2016-05-01,490,375,380
2016-06-01,490,360,370
2016-07-01,495,370,390
2016-08-01,490,370,380
2016-09-01,500,370,370
2016-10-01,495,370,380
2016-11-01,495,375,400
2016-12-01,500,370,400
2017-01-01,500,385,435
2017-02-01,500,385,450
2017-03-01,500,370,420
2017-04-01,510,360,410
2017-05-01,500,360,410
2017-06-01,500,360,400
2017-07-01,500,365,415
2017-08-01,500,365,399
2017-09-01,510,365,420
2017-10-01,510,360,420
2017-11-01,520,370,440
2017-12-01,520,375,450
2018-01-01,530,380,480
2018-02-01,520,390,485
2018-03-01,525,375,440
2018-04-01,530,375,450
2018-05-01,523,375,430
2018-06-01,520,370,440
2018-07-01,520,370,430
2018-08-01,530,370,440
2018-09-01,525,370,460
2018-10-01,530,375,450
2018-11-01,540,380,460
2018-12-01,540,390,480
2019-01-01,550,399,510
2019-02-01,540,400,540
2019-03-01,545,390,485
2019-04-01,550,380,470
2019-05-01,540,380,479
2019-06-01,550,380,480
2019-07-01,543,380,490
2019-08-01,550,380,480
2019-09-01,540,385,495
2019-10-01,550,385,480
2019-11-01,550,390,520
2019-12-01,550,400,525
2020-01-01,560,420,550
2020-02-01,560,410,550
2020-03-01,560,395,525
2020-04-01,570,400,530
2020-05-01,550,395,500
2020-06-01,560,390,500
2020-07-01,550,399,505
2020-08-01,550,395,500
2020-09-01,560,400,500
2020-10-01,560,400,530
2020-11-01,570,410,550
2020-12-01,570,400,550
2021-01-01,580,440,580
2021-02-01,580,440,590
2021-03-01,580,420,550
2021-04-01,580,420,550
2021-05-01,580,420,550
2021-06-01,580,420,540
2021-07-01,580,425,530
2021-08-01,590,435,560
2021-09-01,600,428,560
2021-10-01,595,430,570
2021-11-01,600,450,600
2021-12-01,600,470,595
2022-01-01,600,480,600
2022-02-01,600,470,620
2022-03-01,600,458,600
2022-04-01,600,460,590
2022-05-01,600,465,580
2022-06-01,595,450,570
2022-07-01,595,460,580
2022-08-01,590,465,575
2022-09-01,590,470,575
2022-10-01,600,480,580
2022-11-01,590,495,595
2022-12-01,600,500,580
2023-01-01,610,500,630
2023-02-01,600,500,630
2023-03-01,620,500,595
2023-04-01,640,500,590
2023-05-01,630,500,595
2023-06-01,640,500,595
2023-07-01,640,520,595
2023-08-01,650,520,595
2023-09-01,650,510,600
2023-10-01,650,520,600
2023-11-01,650,540,635
2023-12-01,650,550,625
2024-01-01,650,560,640
2024-02-01,650,550,650
2024-03-01,660,550,600
2024-04-01,660,540,620
2024-05-01,670,545,600
2024-06-01,660,545,600
2024-07-01,650,535,600
2024-08-01,650,540,615
2024-09-01,650,530,600
2024-10-01,650,540,600
2024-11-01,650,550,640
2024-12-01,650,570,620
2025-01-01,650,560,640
2025-02-01,650,550,650
2025-03-01,650,550,610
2025-04-01,650,550,595
2025-05-01,650,550,595
2025-06-01,650,535,590
2025-07-01,650,540,590
