date,Auckland,Canterbury,Wellington
2018-03-01,11192,2487,946
2018-06-01,13874,2379,1084
2018-09-01,13874,2379,1084
2018-12-01,13874,2379,1084
2019-03-01,13874,2379,1084
2019-06-01,14932,2773,1475
2019-09-01,14932,2773,1475
2019-12-01,14932,2773,1475
2020-03-01,14932,2773,1475
2020-06-01,17495,3031,1121
2020-09-01,17495,3031,1121
2020-12-01,17495,3031,1121
2021-03-01,17495,3031,1121
2021-06-01,21477,4714,929
2021-09-01,21477,4714,929
2021-12-01,21477,4714,929
2022-03-01,21477,4714,929
2022-06-01,20312,4688,1168
2022-09-01,20312,4688,1168
2022-12-01,20312,4688,1168
2023-03-01,20312,4688,1168
2023-06-01,14699,3963,448
2023-09-01,14699,3963,448
2023-12-01,14699,3963,448
2024-03-01,14699,3963,448
2024-06-01,14049,3897,442
2024-09-01,14049,3897,442
2024-12-01,14049,3897,442
2025-03-01,14049,3897,442
2025-06-01,NA,NA,NA
2025-09-01,NA,NA,NA
2025-12-01,NA,NA,NA
