date,official_cash_rate,rent_auckland,rent_canterbury,rent_wellington,consents_auckland,consents_canterbury,consents_wellington,population_auckland,population_canterbury,population_wellington,rent_yoy_auckland,rent_yoy_canterbury,rent_yoy_wellington,rent_index_auckland,rent_index_canterbury,rent_index_wellington,consents_per_1000_auckland,consents_per_1000_canterbury,consents_per_1000_wellington
2018-03-01,1.75,525,382,468,11192,2487,946,1654800,383800,211200,NA,NA,NA,100,100,100,6.76,6.48,4.48
2018-06-01,1.75,524,373,440,13874,2379,1084,1654800,383800,211200,NA,NA,NA,99.8,97.6,94,8.38,6.2,5.13
2018-09-01,1.75,525,370,443,13874,2379,1084,1654800,383800,211200,NA,NA,NA,100,96.9,94.7,8.38,6.2,5.13
2018-12-01,1.75,537,382,463,13874,2379,1084,1654800,383800,211200,NA,NA,NA,102.3,100,98.9,8.38,6.2,5.13
2019-03-01,1.75,545,396,512,13874,2379,1084,1680500,388600,212100,3.8,3.7,9.4,103.8,103.7,109.4,8.26,6.12,5.11
2019-06-01,1.58,547,380,476,14932,2773,1475,1680500,388600,212100,4.4,1.9,8.2,104.2,99.5,101.7,8.89,7.14,6.95
2019-09-01,1.17,544,382,488,14932,2773,1475,1680500,388600,212100,3.6,3.2,10.2,103.6,100,104.3,8.89,7.14,6.95
2019-12-01,1.00,550,392,508,14932,2773,1475,1680500,388600,212100,2.4,2.6,9.7,104.8,102.6,108.5,8.89,7.14,6.95
2020-03-01,0.75,560,408,542,14932,2773,1475,1712000,395200,214200,2.8,3,5.9,106.7,106.8,115.8,8.72,7.02,6.89
2020-06-01,0.25,560,395,510,17495,3031,1121,1712000,395200,214200,2.4,3.9,7.1,106.7,103.4,109,10.22,7.67,5.23
2020-09-01,0.25,553,398,502,17495,3031,1121,1712000,395200,214200,1.7,4.2,2.9,105.3,104.2,107.3,10.22,7.67,5.23
2020-12-01,0.25,567,403,543,17495,3031,1121,1712000,395200,214200,3.1,2.8,6.9,108,105.5,116,10.22,7.67,5.23
2021-03-01,0.25,580,433,573,17495,3031,1121,1704000,396500,212300,3.6,6.1,5.7,110.5,113.4,122.4,10.27,7.64,5.28
2021-06-01,0.25,580,420,547,21477,4714,929,1704000,396500,212300,3.6,6.3,7.3,110.5,109.9,116.9,12.6,11.89,4.38
2021-09-01,0.25,590,429,550,21477,4714,929,1704000,396500,212300,6.7,7.8,9.6,112.4,112.3,117.5,12.6,11.89,4.38
2021-12-01,0.67,598,450,588,21477,4714,929,1704000,396500,212300,5.5,11.7,8.3,113.9,117.8,125.6,12.6,11.89,4.38
2022-03-01,0.92,600,469,607,21477,4714,929,1694400,397400,208200,3.4,8.3,5.9,114.3,122.8,129.7,12.68,11.86,4.46
2022-06-01,1.83,598,458,580,20312,4688,1168,1694400,397400,208200,3.1,9,6,113.9,119.9,123.9,11.99,11.8,5.61
2022-09-01,2.83,592,465,577,20312,4688,1168,1694400,397400,208200,0.3,8.4,4.9,112.8,121.7,123.3,11.99,11.8,5.61
2022-12-01,4.00,597,492,585,20312,4688,1168,1694400,397400,208200,-0.2,9.3,-0.5,113.7,128.8,125,11.99,11.8,5.61
2023-03-01,4.58,610,500,618,20312,4688,1168,1755200,407700,209800,1.7,6.6,1.8,116.2,130.9,132.1,11.57,11.5,5.57
2023-06-01,5.42,637,500,593,14699,3963,448,1755200,407700,209800,6.5,9.2,2.2,121.3,130.9,126.7,8.37,9.72,2.14
2023-09-01,5.50,647,517,597,14699,3963,448,1755200,407700,209800,9.3,11.2,3.5,123.2,135.3,127.6,8.37,9.72,2.14
2023-12-01,5.50,650,537,620,14699,3963,448,1755200,407700,209800,8.9,9.1,6,123.8,140.6,132.5,8.37,9.72,2.14
2024-03-01,5.50,653,553,630,14699,3963,448,1797300,412000,209900,7,10.6,1.9,124.4,144.8,134.6,8.18,9.62,2.13
2024-06-01,5.50,663,543,607,14049,3897,442,1797300,412000,209900,4.1,8.6,2.4,126.3,142.1,129.7,7.82,9.46,2.11
2024-09-01,5.33,650,535,605,14049,3897,442,1797300,412000,209900,0.5,3.5,1.3,123.8,140.1,129.3,7.82,9.46,2.11
2024-12-01,4.42,650,553,620,14049,3897,442,1797300,412000,209900,0,3,0,123.8,144.8,132.5,7.82,9.46,2.11
2025-03-01,3.92,650,553,633,14049,3897,442,1797300,412000,209900,-0.5,0,0.5,123.8,144.8,135.3,7.82,9.46,2.11
2025-06-01,3.33,650,545,593,NA,NA,NA,1797300,412000,209900,-2,0.4,-2.3,123.8,142.7,126.7,NA,NA,NA
2025-09-01,3.12,650,540,590,NA,NA,NA,1797300,412000,209900,0,0.9,-2.5,123.8,141.4,126.1,NA,NA,NA
