date,ocr
2018-03-01,1.75
2018-06-01,1.75
2018-09-01,1.75
2018-12-01,1.75
2019-03-01,1.75
2019-06-01,1.58
2019-09-01,1.17
2019-12-01,1.00
2020-03-01,0.75
2020-06-01,0.25
2020-09-01,0.25
2020-12-01,0.25
2021-03-01,0.25
2021-06-01,0.25
2021-09-01,0.25
2021-12-01,0.67
2022-03-01,0.92
2022-06-01,1.83
2022-09-01,2.83
2022-12-01,4.00
2023-03-01,4.58
2023-06-01,5.42
2023-09-01,5.50
2023-12-01,5.50
2024-03-01,5.50
2024-06-01,5.50
2024-09-01,5.33
2024-12-01,4.42
2025-03-01,3.92
2025-06-01,3.33
2025-09-01,3.12
