"Category","Estimated resident population","Census usually resident population count"
"1996",1115800,
"1997",1146700,
"1998",1169000,
"1999",1184800,
"2000",1201500,
"2001",1218300,
"2002",1255800,
"2003",1297600,
"2004",1326000,
"2005",1348900,
"2006",1373000,
"2007",1390400,
"2008",1405500,
"2009",1421700,
"2010",1439600,
"2011",1459600,
"2012",1476500,
"2013",1493200,1415550
"2014",1520400,
"2015",1552800,
"2016",1589800,
"2017",1625100,
"2018",1654800,1571718
"2019",1680500,
"2020",1712000,
"2021",1704000,
"2022",1694400,
"2023",1755200,1656486
"2024",1797300,
