"Category","Estimated resident population","Census usually resident population count"
"1996",325700,
"1997",329200,
"1998",331300,
"1999",332700,
"2000",333800,
"2001",335300,
"2002",340500,
"2003",347600,
"2004",353200,
"2005",357200,
"2006",361800,
"2007",365600,
"2008",368700,
"2009",372300,
"2010",376300,
"2011",362300,
"2012",355100,
"2013",356700,341469
"2014",358000,
"2015",365600,
"2016",374600,
"2017",380400,
"2018",383800,369006
"2019",388600,
"2020",395200,
"2021",396500,
"2022",397400,
"2023",407700,391383
"2024",412000,
