"Category","Estimated resident population","Census usually resident population count"
"1996",163400,
"1997",166000,
"1998",167400,
"1999",168600,
"2000",169500,
"2001",171100,
"2002",174400,
"2003",178800,
"2004",182100,
"2005",184500,
"2006",187700,
"2007",189500,
"2008",190800,
"2009",192500,
"2010",193700,
"2011",195400,
"2012",196600,
"2013",197500,190956
"2014",199900,
"2015",202900,
"2016",206000,
"2017",208400,
"2018",211200,202737
"2019",212100,
"2020",214200,
"2021",212300,
"2022",208200,
"2023",209800,202689
"2024",209900,
