date,Auckland,Canterbury,Wellington
2018-03-01,1654800,383800,211200
2018-06-01,1654800,383800,211200
2018-09-01,1654800,383800,211200
2018-12-01,1654800,383800,211200
2019-03-01,1680500,388600,212100
2019-06-01,1680500,388600,212100
2019-09-01,1680500,388600,212100
2019-12-01,1680500,388600,212100
2020-03-01,1712000,395200,214200
2020-06-01,1712000,395200,214200
2020-09-01,1712000,395200,214200
2020-12-01,1712000,395200,214200
2021-03-01,1704000,396500,212300
2021-06-01,1704000,396500,212300
2021-09-01,1704000,396500,212300
2021-12-01,1704000,396500,212300
2022-03-01,1694400,397400,208200
2022-06-01,1694400,397400,208200
2022-09-01,1694400,397400,208200
2022-12-01,1694400,397400,208200
2023-03-01,1755200,407700,209800
2023-06-01,1755200,407700,209800
2023-09-01,1755200,407700,209800
2023-12-01,1755200,407700,209800
2024-03-01,1797300,412000,209900
2024-06-01,1797300,412000,209900
2024-09-01,1797300,412000,209900
2024-12-01,1797300,412000,209900
2025-03-01,1797300,412000,209900
2025-06-01,1797300,412000,209900
2025-09-01,1797300,412000,209900
2025-12-01,1797300,412000,209900
