date,Auckland,Canterbury,Wellington
2018-03-01,525,382,468
2018-06-01,524,373,440
2018-09-01,525,370,443
2018-12-01,537,382,463
2019-03-01,545,396,512
2019-06-01,547,380,476
2019-09-01,544,382,488
2019-12-01,550,392,508
2020-03-01,560,408,542
2020-06-01,560,395,510
2020-09-01,553,398,502
2020-12-01,567,403,543
2021-03-01,580,433,573
2021-06-01,580,420,547
2021-09-01,590,429,550
2021-12-01,598,450,588
2022-03-01,600,469,607
2022-06-01,598,458,580
2022-09-01,592,465,577
2022-12-01,597,492,585
2023-03-01,610,500,618
2023-06-01,637,500,593
2023-09-01,647,517,597
2023-12-01,650,537,620
2024-03-01,653,553,630
2024-06-01,663,543,607
2024-09-01,650,535,605
2024-12-01,650,553,620
2025-03-01,650,553,633
2025-06-01,650,545,593
2025-09-01,650,540,590
